2048x2048 bmm transpose 2,,,
elapsed time,power,no of threads,
32.99,2,1, block size is 4
65.1,3,1, block size is 4
97.14,4,1, block size is 4
129.23,5,1, block size is 4
161.32,6,1, block size is 4
193.43,7,1, block size is 4
225.64,8,1, block size is 4
257.87,9,1, block size is 4
290.36,10,1, block size is 4
322.78,11,1, block size is 4
355.01,12,1, block size is 4
387.24,13,1, block size is 4
419.23,14,1, block size is 4
451.22,15,1, block size is 4
483.34,16,1, block size is 4
505.08,2,1, block size is 8
526.8,3,1, block size is 8
548.6,4,1, block size is 8
570.33,5,1, block size is 8
592.05,6,1, block size is 8
613.8,7,1, block size is 8
635.55,8,1, block size is 8
657.3,9,1, block size is 8
679.05,10,1, block size is 8
700.8,11,1, block size is 8
722.54,12,1, block size is 8
744.3,13,1, block size is 8
766.05,14,1, block size is 8
787.81,15,1, block size is 8
809.56,16,1, block size is 8
829.94,2,1, block size is 16
850.31,3,1, block size is 16
870.68,4,1, block size is 16
891.05,5,1, block size is 16
911.42,6,1, block size is 16
931.8,7,1, block size is 16
952.17,8,1, block size is 16
972.54,9,1, block size is 16
992.89,10,1, block size is 16
1013.25,11,1, block size is 16
1033.62,12,1, block size is 16
1053.97,13,1, block size is 16
1074.33,14,1, block size is 16
1094.68,15,1, block size is 16
1115.06,16,1, block size is 16
1135.44,2,1, block size is 32
1155.82,3,1, block size is 32
1176.2,4,1, block size is 32
1196.57,5,1, block size is 32
1216.92,6,1, block size is 32
1237.28,7,1, block size is 32
1257.64,8,1, block size is 32
1278.04,9,1, block size is 32
1298.44,10,1, block size is 32
1318.84,11,1, block size is 32
1339.21,12,1, block size is 32
1359.56,13,1, block size is 32
1379.91,14,1, block size is 32
1400.26,15,1, block size is 32
1420.61,16,1, block size is 32
1440.48,2,1, block size is 64
1460.34,3,1, block size is 64
1480.21,4,1, block size is 64
1500.08,5,1, block size is 64
1519.95,6,1, block size is 64
1539.82,7,1, block size is 64
1559.68,8,1, block size is 64
1579.55,9,1, block size is 64
1599.41,10,1, block size is 64
1619.28,11,1, block size is 64
1639.15,12,1, block size is 64
1659.02,13,1, block size is 64
1678.88,14,1, block size is 64
1698.75,15,1, block size is 64
1718.61,16,1, block size is 64
2048 1 thread done,,,
2048 2 thread done,,,
2048 4 thread done,,,
2048 6 thread done,,,
2048 8 thread done,,,
2048 10 thread done,,,
2048 12 thread done,,,
2048 14 thread done,,,
2048 16 thread done,,,
