2048x2048 bmm transpose 4,,,
elapsed time,power,no of threads,
34.97,2,1, block size is 4
66.98,3,1, block size is 4
98.71,4,1, block size is 4
130.36,5,1, block size is 4
162.03,6,1, block size is 4
193.66,7,1, block size is 4
225.33,8,1, block size is 4
256.95,9,1, block size is 4
288.61,10,1, block size is 4
320.28,11,1, block size is 4
353.25,12,1, block size is 4
385.2,13,1, block size is 4
416.88,14,1, block size is 4
448.57,15,1, block size is 4
480.3,16,1, block size is 4
501.93,2,1, block size is 8
523.56,3,1, block size is 8
545.19,4,1, block size is 8
566.82,5,1, block size is 8
588.44,6,1, block size is 8
610.07,7,1, block size is 8
631.75,8,1, block size is 8
653.44,9,1, block size is 8
675.1,10,1, block size is 8
696.75,11,1, block size is 8
718.38,12,1, block size is 8
740.02,13,1, block size is 8
761.66,14,1, block size is 8
783.29,15,1, block size is 8
804.92,16,1, block size is 8
825.29,2,1, block size is 16
845.66,3,1, block size is 16
866.03,4,1, block size is 16
886.41,5,1, block size is 16
906.81,6,1, block size is 16
927.19,7,1, block size is 16
947.64,8,1, block size is 16
968,9,1, block size is 16
988.35,10,1, block size is 16
1008.71,11,1, block size is 16
1029.06,12,1, block size is 16
1049.42,13,1, block size is 16
1069.76,14,1, block size is 16
1090.12,15,1, block size is 16
1110.47,16,1, block size is 16
1130.79,2,1, block size is 32
1151.11,3,1, block size is 32
1171.43,4,1, block size is 32
1191.76,5,1, block size is 32
1212.09,6,1, block size is 32
1232.41,7,1, block size is 32
1252.73,8,1, block size is 32
1273.05,9,1, block size is 32
1293.37,10,1, block size is 32
1313.69,11,1, block size is 32
1334,12,1, block size is 32
1354.33,13,1, block size is 32
1374.65,14,1, block size is 32
1394.97,15,1, block size is 32
1415.29,16,1, block size is 32
1435.14,2,1, block size is 64
1455,3,1, block size is 64
1474.85,4,1, block size is 64
1494.7,5,1, block size is 64
1514.55,6,1, block size is 64
1534.4,7,1, block size is 64
1554.25,8,1, block size is 64
1574.11,9,1, block size is 64
1593.95,10,1, block size is 64
1613.81,11,1, block size is 64
1633.66,12,1, block size is 64
1653.51,13,1, block size is 64
1673.36,14,1, block size is 64
1693.21,15,1, block size is 64
1713.06,16,1, block size is 64
2048 1 thread done,,,
17.75,2,2, block size is 4
35.44,3,2, block size is 4
53.49,4,2, block size is 4
71.81,5,2, block size is 4
89.54,6,2, block size is 4
107.28,7,2, block size is 4
125,8,2, block size is 4
142.69,9,2, block size is 4
160.42,10,2, block size is 4
178.15,11,2, block size is 4
195.87,12,2, block size is 4
213.59,13,2, block size is 4
231.38,14,2, block size is 4
249.68,15,2, block size is 4
267.97,16,2, block size is 4
278.76,2,2, block size is 8
289.56,3,2, block size is 8
300.36,4,2, block size is 8
311.15,5,2, block size is 8
321.94,6,2, block size is 8
332.73,7,2, block size is 8
343.64,8,2, block size is 8
354.19,9,2, block size is 8
364.57,10,2, block size is 8
374.97,11,2, block size is 8
385.37,12,2, block size is 8
395.77,13,2, block size is 8
406.17,14,2, block size is 8
416.57,15,2, block size is 8
426.97,16,2, block size is 8
436.85,2,2, block size is 16
446.74,3,2, block size is 16
456.61,4,2, block size is 16
466.5,5,2, block size is 16
476.38,6,2, block size is 16
486.27,7,2, block size is 16
496.15,8,2, block size is 16
506.03,9,2, block size is 16
515.91,10,2, block size is 16
525.8,11,2, block size is 16
535.68,12,2, block size is 16
545.56,13,2, block size is 16
555.44,14,2, block size is 16
565.32,15,2, block size is 16
575.2,16,2, block size is 16
585.35,2,2, block size is 32
595.51,3,2, block size is 32
605.66,4,2, block size is 32
615.81,5,2, block size is 32
625.98,6,2, block size is 32
636.13,7,2, block size is 32
646.28,8,2, block size is 32
656.44,9,2, block size is 32
666.6,10,2, block size is 32
676.75,11,2, block size is 32
686.91,12,2, block size is 32
697.06,13,2, block size is 32
707.21,14,2, block size is 32
717.37,15,2, block size is 32
727.53,16,2, block size is 32
737.45,2,2, block size is 64
747.37,3,2, block size is 64
757.29,4,2, block size is 64
767.2,5,2, block size is 64
777.12,6,2, block size is 64
787.03,7,2, block size is 64
796.95,8,2, block size is 64
806.86,9,2, block size is 64
elapsed time = 816.78 | seconds power is 10 | number of threads is 2 | block size is 64,,,
elapsed time = 826.69 | seconds power is 11 | number of threads is 2 | block size is 64,,,
elapsed time = 836.61 | seconds power is 12 | number of threads is 2 | block size is 64,,,
elapsed time = 846.52 | seconds power is 13 | number of threads is 2 | block size is 64,,,
elapsed time = 856.44 | seconds power is 14 | number of threads is 2 | block size is 64,,,
elapsed time = 866.35 | seconds power is 15 | number of threads is 2 | block size is 64,,,
elapsed time = 876.26 | seconds power is 16 | number of threads is 2 | block size is 64,,,
2048 2 thread done,,,
elapsed time = 8.35 | seconds power is 2 | number of threads is 4 | block size is 4,,,
elapsed time = 16.66 | seconds power is 3 | number of threads is 4 | block size is 4,,,
elapsed time = 24.97 | seconds power is 4 | number of threads is 4 | block size is 4,,,
elapsed time = 33.26 | seconds power is 5 | number of threads is 4 | block size is 4,,,
elapsed time = 41.51 | seconds power is 6 | number of threads is 4 | block size is 4,,,
elapsed time = 49.79 | seconds power is 7 | number of threads is 4 | block size is 4,,,
elapsed time = 58.16 | seconds power is 8 | number of threads is 4 | block size is 4,,,
elapsed time = 66.54 | seconds power is 9 | number of threads is 4 | block size is 4,,,
elapsed time = 74.92 | seconds power is 10 | number of threads is 4 | block size is 4,,,
elapsed time = 83.29 | seconds power is 11 | number of threads is 4 | block size is 4,,,
elapsed time = 91.67 | seconds power is 12 | number of threads is 4 | block size is 4,,,
elapsed time = 100.06 | seconds power is 13 | number of threads is 4 | block size is 4,,,
elapsed time = 108.44 | seconds power is 14 | number of threads is 4 | block size is 4,,,
elapsed time = 116.82 | seconds power is 15 | number of threads is 4 | block size is 4,,,
elapsed time = 125.20 | seconds power is 16 | number of threads is 4 | block size is 4,,,
elapsed time = 130.68 | seconds power is 2 | number of threads is 4 | block size is 8,,,
elapsed time = 136.14 | seconds power is 3 | number of threads is 4 | block size is 8,,,
elapsed time = 141.60 | seconds power is 4 | number of threads is 4 | block size is 8,,,
elapsed time = 147.06 | seconds power is 5 | number of threads is 4 | block size is 8,,,
elapsed time = 152.53 | seconds power is 6 | number of threads is 4 | block size is 8,,,
elapsed time = 158.03 | seconds power is 7 | number of threads is 4 | block size is 8,,,
elapsed time = 163.56 | seconds power is 8 | number of threads is 4 | block size is 8,,,
elapsed time = 169.10 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 174.66 | seconds power is 10 | number of threads is 4 | block size is 8,,,
