2048x2048 bmm transpose 5,,,
elapsed time,power,no of threads,
37.07,2,1, block size is 4
69.29,3,1, block size is 4
101.32,4,1, block size is 4
133.11,5,1, block size is 4
164.93,6,1, block size is 4
196.91,7,1, block size is 4
228.99,8,1, block size is 4
261.12,9,1, block size is 4
293.14,10,1, block size is 4
325.17,11,1, block size is 4
358.25,12,1, block size is 4
390.28,13,1, block size is 4
422.33,14,1, block size is 4
454.42,15,1, block size is 4
486.56,16,1, block size is 4
508.38,2,1, block size is 8
530.22,3,1, block size is 8
552.06,4,1, block size is 8
573.89,5,1, block size is 8
595.73,6,1, block size is 8
617.57,7,1, block size is 8
639.39,8,1, block size is 8
661.23,9,1, block size is 8
683.08,10,1, block size is 8
704.89,11,1, block size is 8
726.71,12,1, block size is 8
748.53,13,1, block size is 8
770.36,14,1, block size is 8
792.19,15,1, block size is 8
814.02,16,1, block size is 8
834.38,2,1, block size is 16
854.74,3,1, block size is 16
875.1,4,1, block size is 16
895.44,5,1, block size is 16
915.8,6,1, block size is 16
936.1,7,1, block size is 16
956.46,8,1, block size is 16
976.8,9,1, block size is 16
997.15,10,1, block size is 16
1017.49,11,1, block size is 16
1037.83,12,1, block size is 16
1058.16,13,1, block size is 16
1078.51,14,1, block size is 16
1098.84,15,1, block size is 16
1119.19,16,1, block size is 16
1139.52,2,1, block size is 32
1159.85,3,1, block size is 32
1180.18,4,1, block size is 32
1200.52,5,1, block size is 32
1220.85,6,1, block size is 32
1241.19,7,1, block size is 32
1261.52,8,1, block size is 32
1281.85,9,1, block size is 32
1302.18,10,1, block size is 32
1322.51,11,1, block size is 32
1342.84,12,1, block size is 32
1363.17,13,1, block size is 32
1383.5,14,1, block size is 32
1403.83,15,1, block size is 32
1424.16,16,1, block size is 32
1444.01,2,1, block size is 64
1463.86,3,1, block size is 64
1483.71,4,1, block size is 64
1503.56,5,1, block size is 64
1523.4,6,1, block size is 64
1543.25,7,1, block size is 64
1563.1,8,1, block size is 64
1582.95,9,1, block size is 64
1602.8,10,1, block size is 64
1622.65,11,1, block size is 64
1642.49,12,1, block size is 64
1662.34,13,1, block size is 64
1682.19,14,1, block size is 64
1702.04,15,1, block size is 64
1721.89,16,1, block size is 64
2048 1 thread done,,,
17.76,2,2, block size is 4
35.46,3,2, block size is 4
53.17,4,2, block size is 4
70.87,5,2, block size is 4
88.58,6,2, block size is 4
106.81,7,2, block size is 4
125.04,8,2, block size is 4
143.29,9,2, block size is 4
161.59,10,2, block size is 4
179.9,11,2, block size is 4
198.21,12,2, block size is 4
216.51,13,2, block size is 4
234.83,14,2, block size is 4
254.06,15,2, block size is 4
272.22,16,2, block size is 4
282.62,2,2, block size is 8
293.04,3,2, block size is 8
303.44,4,2, block size is 8
313.85,5,2, block size is 8
324.26,6,2, block size is 8
334.74,7,2, block size is 8
345.55,8,2, block size is 8
356.37,9,2, block size is 8
367.3,10,2, block size is 8
378.25,11,2, block size is 8
389.2,12,2, block size is 8
400.01,13,2, block size is 8
410.83,14,2, block size is 8
421.65,15,2, block size is 8
432.05,16,2, block size is 8
441.94,2,2, block size is 16
451.82,3,2, block size is 16
461.7,4,2, block size is 16
471.58,5,2, block size is 16
481.46,6,2, block size is 16
491.34,7,2, block size is 16
501.22,8,2, block size is 16
511.1,9,2, block size is 16
520.98,10,2, block size is 16
