2048x2048 bmm transpose 1,,,
elapsed time,power,no of threads,
elapsed time = 163.95 | seconds power is 8 | number of threads is 4 | block size is 8,,,
elapsed time = 169.47 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 175.05 | seconds power is 10 | number of threads is 4 | block size is 8,,,
elapsed time = 180.62 | seconds power is 11 | number of threads is 4 | block size is 8,,,
elapsed time = 186.22 | seconds power is 12 | number of threads is 4 | block size is 8,,,
elapsed time = 191.83 | seconds power is 13 | number of threads is 4 | block size is 8,,,
elapsed time = 197.44 | seconds power is 14 | number of threads is 4 | block size is 8,,,
elapsed time = 203.06 | seconds power is 15 | number of threads is 4 | block size is 8,,,
elapsed time = 208.72 | seconds power is 16 | number of threads is 4 | block size is 8,,,
elapsed time = 214.15 | seconds power is 2 | number of threads is 4 | block size is 16,,,
elapsed time = 219.55 | seconds power is 3 | number of threads is 4 | block size is 16,,,
elapsed time = 224.97 | seconds power is 4 | number of threads is 4 | block size is 16,,,
elapsed time = 230.34 | seconds power is 5 | number of threads is 4 | block size is 16,,,
elapsed time = 235.75 | seconds power is 6 | number of threads is 4 | block size is 16,,,
elapsed time = 241.15 | seconds power is 7 | number of threads is 4 | block size is 16,,,
elapsed time = 246.52 | seconds power is 8 | number of threads is 4 | block size is 16,,,
elapsed time = 251.94 | seconds power is 9 | number of threads is 4 | block size is 16,,,
elapsed time = 257.29 | seconds power is 10 | number of threads is 4 | block size is 16,,,
elapsed time = 262.72 | seconds power is 11 | number of threads is 4 | block size is 16,,,
elapsed time = 268.07 | seconds power is 12 | number of threads is 4 | block size is 16,,,
elapsed time = 273.41 | seconds power is 13 | number of threads is 4 | block size is 16,,,
elapsed time = 278.76 | seconds power is 14 | number of threads is 4 | block size is 16,,,
elapsed time = 284.12 | seconds power is 15 | number of threads is 4 | block size is 16,,,
elapsed time = 289.47 | seconds power is 16 | number of threads is 4 | block size is 16,,,
elapsed time = 294.91 | seconds power is 2 | number of threads is 4 | block size is 32,,,
elapsed time = 300.35 | seconds power is 3 | number of threads is 4 | block size is 32,,,
elapsed time = 305.78 | seconds power is 4 | number of threads is 4 | block size is 32,,,
elapsed time = 311.23 | seconds power is 5 | number of threads is 4 | block size is 32,,,
elapsed time = 316.67 | seconds power is 6 | number of threads is 4 | block size is 32,,,
elapsed time = 322.11 | seconds power is 7 | number of threads is 4 | block size is 32,,,
elapsed time = 327.55 | seconds power is 8 | number of threads is 4 | block size is 32,,,
elapsed time = 332.99 | seconds power is 9 | number of threads is 4 | block size is 32,,,
elapsed time = 338.43 | seconds power is 10 | number of threads is 4 | block size is 32,,,
elapsed time = 343.88 | seconds power is 11 | number of threads is 4 | block size is 32,,,
