1024x1024 bmm  2,,,
elapsed time,power,no of threads,
2.95,2,1, block size is 4
6.65,3,1, block size is 4
9.92,4,1, block size is 4
12.85,5,1, block size is 4
16.11,6,1, block size is 4
19.31,7,1, block size is 4
22.5,8,1, block size is 4
25.34,9,1, block size is 4
28.37,10,1, block size is 4
31.32,11,1, block size is 4
34.14,12,1, block size is 4
36.95,13,1, block size is 4
39.76,14,1, block size is 4
42.57,15,1, block size is 4
45.4,16,1, block size is 4
47.9,2,1, block size is 8
50.42,3,1, block size is 8
52.92,4,1, block size is 8
55.43,5,1, block size is 8
57.95,6,1, block size is 8
60.45,7,1, block size is 8
62.96,8,1, block size is 8
65.46,9,1, block size is 8
67.97,10,1, block size is 8
70.47,11,1, block size is 8
72.99,12,1, block size is 8
75.5,13,1, block size is 8
78.01,14,1, block size is 8
80.51,15,1, block size is 8
83.02,16,1, block size is 8
85.39,2,1, block size is 16
87.76,3,1, block size is 16
90.13,4,1, block size is 16
92.5,5,1, block size is 16
94.86,6,1, block size is 16
97.23,7,1, block size is 16
99.6,8,1, block size is 16
101.97,9,1, block size is 16
104.34,10,1, block size is 16
106.7,11,1, block size is 16
109.07,12,1, block size is 16
111.43,13,1, block size is 16
113.8,14,1, block size is 16
116.17,15,1, block size is 16
118.54,16,1, block size is 16
120.92,2,1, block size is 32
123.3,3,1, block size is 32
125.69,4,1, block size is 32
128.07,5,1, block size is 32
130.46,6,1, block size is 32
132.84,7,1, block size is 32
135.23,8,1, block size is 32
137.61,9,1, block size is 32
140,10,1, block size is 32
142.38,11,1, block size is 32
144.76,12,1, block size is 32
147.15,13,1, block size is 32
149.53,14,1, block size is 32
151.92,15,1, block size is 32
154.3,16,1, block size is 32
156.67,2,1, block size is 64
159.05,3,1, block size is 64
161.43,4,1, block size is 64
163.8,5,1, block size is 64
166.17,6,1, block size is 64
168.55,7,1, block size is 64
170.92,8,1, block size is 64
173.29,9,1, block size is 64
175.66,10,1, block size is 64
178.03,11,1, block size is 64
180.41,12,1, block size is 64
182.78,13,1, block size is 64
185.15,14,1, block size is 64
187.52,15,1, block size is 64
189.89,16,1, block size is 64
1024 1 thread done,,,
1.45,2,2, block size is 4
2.9,3,2, block size is 4
4.31,4,2, block size is 4
5.73,5,2, block size is 4
7.14,6,2, block size is 4
8.56,7,2, block size is 4
9.97,8,2, block size is 4
11.39,9,2, block size is 4
12.81,10,2, block size is 4
14.22,11,2, block size is 4
15.63,12,2, block size is 4
17.05,13,2, block size is 4
18.47,14,2, block size is 4
19.88,15,2, block size is 4
21.29,16,2, block size is 4
22.55,2,2, block size is 8
23.8,3,2, block size is 8
25.06,4,2, block size is 8
26.31,5,2, block size is 8
27.57,6,2, block size is 8
28.82,7,2, block size is 8
30.08,8,2, block size is 8
31.33,9,2, block size is 8
32.59,10,2, block size is 8
33.85,11,2, block size is 8
35.11,12,2, block size is 8
36.36,13,2, block size is 8
37.62,14,2, block size is 8
38.88,15,2, block size is 8
40.14,16,2, block size is 8
41.32,2,2, block size is 16
42.5,3,2, block size is 16
43.69,4,2, block size is 16
44.88,5,2, block size is 16
46.06,6,2, block size is 16
47.25,7,2, block size is 16
48.44,8,2, block size is 16
49.63,9,2, block size is 16
50.81,10,2, block size is 16
52,11,2, block size is 16
53.18,12,2, block size is 16
54.37,13,2, block size is 16
55.56,14,2, block size is 16
56.74,15,2, block size is 16
57.93,16,2, block size is 16
59.12,2,2, block size is 32
60.32,3,2, block size is 32
61.51,4,2, block size is 32
62.71,5,2, block size is 32
63.91,6,2, block size is 32
65.1,7,2, block size is 32
66.3,8,2, block size is 32
67.49,9,2, block size is 32
68.69,10,2, block size is 32
69.89,11,2, block size is 32
71.08,12,2, block size is 32
72.28,13,2, block size is 32
73.47,14,2, block size is 32
74.67,15,2, block size is 32
75.86,16,2, block size is 32
77.05,2,2, block size is 64
78.24,3,2, block size is 64
79.42,4,2, block size is 64
80.61,5,2, block size is 64
81.79,6,2, block size is 64
82.99,7,2, block size is 64
84.18,8,2, block size is 64
85.37,9,2, block size is 64
elapsed time = 86.55 | seconds power is 10 | number of threads is 2 | block size is 64,,,
elapsed time = 87.74 | seconds power is 11 | number of threads is 2 | block size is 64,,,
elapsed time = 88.92 | seconds power is 12 | number of threads is 2 | block size is 64,,,
elapsed time = 90.11 | seconds power is 13 | number of threads is 2 | block size is 64,,,
elapsed time = 91.30 | seconds power is 14 | number of threads is 2 | block size is 64,,,
elapsed time = 92.48 | seconds power is 15 | number of threads is 2 | block size is 64,,,
elapsed time = 93.67 | seconds power is 16 | number of threads is 2 | block size is 64,,,
1024 2 thread done,,,
elapsed time = 0.77 | seconds power is 2 | number of threads is 4 | block size is 4,,,
elapsed time = 1.49 | seconds power is 3 | number of threads is 4 | block size is 4,,,
elapsed time = 2.22 | seconds power is 4 | number of threads is 4 | block size is 4,,,
elapsed time = 2.94 | seconds power is 5 | number of threads is 4 | block size is 4,,,
elapsed time = 3.67 | seconds power is 6 | number of threads is 4 | block size is 4,,,
elapsed time = 4.39 | seconds power is 7 | number of threads is 4 | block size is 4,,,
elapsed time = 5.12 | seconds power is 8 | number of threads is 4 | block size is 4,,,
elapsed time = 5.84 | seconds power is 9 | number of threads is 4 | block size is 4,,,
elapsed time = 6.57 | seconds power is 10 | number of threads is 4 | block size is 4,,,
elapsed time = 7.29 | seconds power is 11 | number of threads is 4 | block size is 4,,,
elapsed time = 8.01 | seconds power is 12 | number of threads is 4 | block size is 4,,,
elapsed time = 8.74 | seconds power is 13 | number of threads is 4 | block size is 4,,,
elapsed time = 9.46 | seconds power is 14 | number of threads is 4 | block size is 4,,,
elapsed time = 10.19 | seconds power is 15 | number of threads is 4 | block size is 4,,,
elapsed time = 10.91 | seconds power is 16 | number of threads is 4 | block size is 4,,,
elapsed time = 11.55 | seconds power is 2 | number of threads is 4 | block size is 8,,,
elapsed time = 12.20 | seconds power is 3 | number of threads is 4 | block size is 8,,,
elapsed time = 12.85 | seconds power is 4 | number of threads is 4 | block size is 8,,,
elapsed time = 13.49 | seconds power is 5 | number of threads is 4 | block size is 8,,,
elapsed time = 14.14 | seconds power is 6 | number of threads is 4 | block size is 8,,,
elapsed time = 14.78 | seconds power is 7 | number of threads is 4 | block size is 8,,,
elapsed time = 15.43 | seconds power is 8 | number of threads is 4 | block size is 8,,,
elapsed time = 16.07 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 16.71 | seconds power is 10 | number of threads is 4 | block size is 8,,,
elapsed time = 17.36 | seconds power is 11 | number of threads is 4 | block size is 8,,,
elapsed time = 18.00 | seconds power is 12 | number of threads is 4 | block size is 8,,,
elapsed time = 18.65 | seconds power is 13 | number of threads is 4 | block size is 8,,,
elapsed time = 19.29 | seconds power is 14 | number of threads is 4 | block size is 8,,,
elapsed time = 19.93 | seconds power is 15 | number of threads is 4 | block size is 8,,,
elapsed time = 20.58 | seconds power is 16 | number of threads is 4 | block size is 8,,,
elapsed time = 21.19 | seconds power is 2 | number of threads is 4 | block size is 16,,,
elapsed time = 21.80 | seconds power is 3 | number of threads is 4 | block size is 16,,,
elapsed time = 22.40 | seconds power is 4 | number of threads is 4 | block size is 16,,,
elapsed time = 23.03 | seconds power is 5 | number of threads is 4 | block size is 16,,,
elapsed time = 23.73 | seconds power is 6 | number of threads is 4 | block size is 16,,,
elapsed time = 24.36 | seconds power is 7 | number of threads is 4 | block size is 16,,,
elapsed time = 25.00 | seconds power is 8 | number of threads is 4 | block size is 16,,,
elapsed time = 25.63 | seconds power is 9 | number of threads is 4 | block size is 16,,,
elapsed time = 26.26 | seconds power is 10 | number of threads is 4 | block size is 16,,,
elapsed time = 26.89 | seconds power is 11 | number of threads is 4 | block size is 16,,,
elapsed time = 27.53 | seconds power is 12 | number of threads is 4 | block size is 16,,,
elapsed time = 28.17 | seconds power is 13 | number of threads is 4 | block size is 16,,,
elapsed time = 28.80 | seconds power is 14 | number of threads is 4 | block size is 16,,,
elapsed time = 29.45 | seconds power is 15 | number of threads is 4 | block size is 16,,,
elapsed time = 30.08 | seconds power is 16 | number of threads is 4 | block size is 16,,,
elapsed time = 30.72 | seconds power is 2 | number of threads is 4 | block size is 32,,,
elapsed time = 31.36 | seconds power is 3 | number of threads is 4 | block size is 32,,,
elapsed time = 31.99 | seconds power is 4 | number of threads is 4 | block size is 32,,,
elapsed time = 32.63 | seconds power is 5 | number of threads is 4 | block size is 32,,,
elapsed time = 33.27 | seconds power is 6 | number of threads is 4 | block size is 32,,,
elapsed time = 33.91 | seconds power is 7 | number of threads is 4 | block size is 32,,,
elapsed time = 34.55 | seconds power is 8 | number of threads is 4 | block size is 32,,,
elapsed time = 35.18 | seconds power is 9 | number of threads is 4 | block size is 32,,,
elapsed time = 35.82 | seconds power is 10 | number of threads is 4 | block size is 32,,,
elapsed time = 36.46 | seconds power is 11 | number of threads is 4 | block size is 32,,,
elapsed time = 37.09 | seconds power is 12 | number of threads is 4 | block size is 32,,,
elapsed time = 37.73 | seconds power is 13 | number of threads is 4 | block size is 32,,,
elapsed time = 38.37 | seconds power is 14 | number of threads is 4 | block size is 32,,,
elapsed time = 39.01 | seconds power is 15 | number of threads is 4 | block size is 32,,,
elapsed time = 39.64 | seconds power is 16 | number of threads is 4 | block size is 32,,,
elapsed time = 40.27 | seconds power is 2 | number of threads is 4 | block size is 64,,,
elapsed time = 40.91 | seconds power is 3 | number of threads is 4 | block size is 64,,,
elapsed time = 41.54 | seconds power is 4 | number of threads is 4 | block size is 64,,,
elapsed time = 42.17 | seconds power is 5 | number of threads is 4 | block size is 64,,,
elapsed time = 42.81 | seconds power is 6 | number of threads is 4 | block size is 64,,,
elapsed time = 43.44 | seconds power is 7 | number of threads is 4 | block size is 64,,,
elapsed time = 44.07 | seconds power is 8 | number of threads is 4 | block size is 64,,,
elapsed time = 44.70 | seconds power is 9 | number of threads is 4 | block size is 64,,,
elapsed time = 45.34 | seconds power is 10 | number of threads is 4 | block size is 64,,,
elapsed time = 45.99 | seconds power is 11 | number of threads is 4 | block size is 64,,,
elapsed time = 46.62 | seconds power is 12 | number of threads is 4 | block size is 64,,,
elapsed time = 47.25 | seconds power is 13 | number of threads is 4 | block size is 64,,,
elapsed time = 47.88 | seconds power is 14 | number of threads is 4 | block size is 64,,,
elapsed time = 48.51 | seconds power is 15 | number of threads is 4 | block size is 64,,,
elapsed time = 49.14 | seconds power is 16 | number of threads is 4 | block size is 64,,,
1024 4 thread done,,,
elapsed time = 0.59 | seconds power is 2 | number of threads is 6 | block size is 4,,,
elapsed time = 1.16 | seconds power is 3 | number of threads is 6 | block size is 4,,,
elapsed time = 1.73 | seconds power is 4 | number of threads is 6 | block size is 4,,,
elapsed time = 2.30 | seconds power is 5 | number of threads is 6 | block size is 4,,,
elapsed time = 2.87 | seconds power is 6 | number of threads is 6 | block size is 4,,,
elapsed time = 3.44 | seconds power is 7 | number of threads is 6 | block size is 4,,,
elapsed time = 4.01 | seconds power is 8 | number of threads is 6 | block size is 4,,,
elapsed time = 4.58 | seconds power is 9 | number of threads is 6 | block size is 4,,,
elapsed time = 5.15 | seconds power is 10 | number of threads is 6 | block size is 4,,,
elapsed time = 5.72 | seconds power is 11 | number of threads is 6 | block size is 4,,,
elapsed time = 6.30 | seconds power is 12 | number of threads is 6 | block size is 4,,,
elapsed time = 6.86 | seconds power is 13 | number of threads is 6 | block size is 4,,,
elapsed time = 7.43 | seconds power is 14 | number of threads is 6 | block size is 4,,,
elapsed time = 8.01 | seconds power is 15 | number of threads is 6 | block size is 4,,,
elapsed time = 8.58 | seconds power is 16 | number of threads is 6 | block size is 4,,,
elapsed time = 9.10 | seconds power is 2 | number of threads is 6 | block size is 8,,,
elapsed time = 9.61 | seconds power is 3 | number of threads is 6 | block size is 8,,,
elapsed time = 10.13 | seconds power is 4 | number of threads is 6 | block size is 8,,,
elapsed time = 10.64 | seconds power is 5 | number of threads is 6 | block size is 8,,,
elapsed time = 11.16 | seconds power is 6 | number of threads is 6 | block size is 8,,,
elapsed time = 11.68 | seconds power is 7 | number of threads is 6 | block size is 8,,,
elapsed time = 12.19 | seconds power is 8 | number of threads is 6 | block size is 8,,,
elapsed time = 12.71 | seconds power is 9 | number of threads is 6 | block size is 8,,,
elapsed time = 13.22 | seconds power is 10 | number of threads is 6 | block size is 8,,,
elapsed time = 13.74 | seconds power is 11 | number of threads is 6 | block size is 8,,,
elapsed time = 14.25 | seconds power is 12 | number of threads is 6 | block size is 8,,,
elapsed time = 14.77 | seconds power is 13 | number of threads is 6 | block size is 8,,,
elapsed time = 15.29 | seconds power is 14 | number of threads is 6 | block size is 8,,,
elapsed time = 15.80 | seconds power is 15 | number of threads is 6 | block size is 8,,,
elapsed time = 16.32 | seconds power is 16 | number of threads is 6 | block size is 8,,,
elapsed time = 16.81 | seconds power is 2 | number of threads is 6 | block size is 16,,,
elapsed time = 17.30 | seconds power is 3 | number of threads is 6 | block size is 16,,,
elapsed time = 17.79 | seconds power is 4 | number of threads is 6 | block size is 16,,,
elapsed time = 18.28 | seconds power is 5 | number of threads is 6 | block size is 16,,,
elapsed time = 18.77 | seconds power is 6 | number of threads is 6 | block size is 16,,,
elapsed time = 19.26 | seconds power is 7 | number of threads is 6 | block size is 16,,,
elapsed time = 19.75 | seconds power is 8 | number of threads is 6 | block size is 16,,,
elapsed time = 20.24 | seconds power is 9 | number of threads is 6 | block size is 16,,,
elapsed time = 20.73 | seconds power is 10 | number of threads is 6 | block size is 16,,,
elapsed time = 21.22 | seconds power is 11 | number of threads is 6 | block size is 16,,,
elapsed time = 21.71 | seconds power is 12 | number of threads is 6 | block size is 16,,,
elapsed time = 22.20 | seconds power is 13 | number of threads is 6 | block size is 16,,,
elapsed time = 22.68 | seconds power is 14 | number of threads is 6 | block size is 16,,,
elapsed time = 23.17 | seconds power is 15 | number of threads is 6 | block size is 16,,,
elapsed time = 23.66 | seconds power is 16 | number of threads is 6 | block size is 16,,,
elapsed time = 24.19 | seconds power is 2 | number of threads is 6 | block size is 32,,,
elapsed time = 24.70 | seconds power is 3 | number of threads is 6 | block size is 32,,,
elapsed time = 25.22 | seconds power is 4 | number of threads is 6 | block size is 32,,,
elapsed time = 25.73 | seconds power is 5 | number of threads is 6 | block size is 32,,,
elapsed time = 26.25 | seconds power is 6 | number of threads is 6 | block size is 32,,,
elapsed time = 26.76 | seconds power is 7 | number of threads is 6 | block size is 32,,,
elapsed time = 27.28 | seconds power is 8 | number of threads is 6 | block size is 32,,,
elapsed time = 27.80 | seconds power is 9 | number of threads is 6 | block size is 32,,,
elapsed time = 28.31 | seconds power is 10 | number of threads is 6 | block size is 32,,,
elapsed time = 28.83 | seconds power is 11 | number of threads is 6 | block size is 32,,,
elapsed time = 29.35 | seconds power is 12 | number of threads is 6 | block size is 32,,,
elapsed time = 29.86 | seconds power is 13 | number of threads is 6 | block size is 32,,,
elapsed time = 30.38 | seconds power is 14 | number of threads is 6 | block size is 32,,,
elapsed time = 30.89 | seconds power is 15 | number of threads is 6 | block size is 32,,,
elapsed time = 31.41 | seconds power is 16 | number of threads is 6 | block size is 32,,,
elapsed time = 31.91 | seconds power is 2 | number of threads is 6 | block size is 64,,,
elapsed time = 32.42 | seconds power is 3 | number of threads is 6 | block size is 64,,,
elapsed time = 32.93 | seconds power is 4 | number of threads is 6 | block size is 64,,,
elapsed time = 33.44 | seconds power is 5 | number of threads is 6 | block size is 64,,,
elapsed time = 33.95 | seconds power is 6 | number of threads is 6 | block size is 64,,,
elapsed time = 34.46 | seconds power is 7 | number of threads is 6 | block size is 64,,,
elapsed time = 34.98 | seconds power is 8 | number of threads is 6 | block size is 64,,,
elapsed time = 35.49 | seconds power is 9 | number of threads is 6 | block size is 64,,,
elapsed time = 36.00 | seconds power is 10 | number of threads is 6 | block size is 64,,,
elapsed time = 36.51 | seconds power is 11 | number of threads is 6 | block size is 64,,,
elapsed time = 37.02 | seconds power is 12 | number of threads is 6 | block size is 64,,,
elapsed time = 37.53 | seconds power is 13 | number of threads is 6 | block size is 64,,,
elapsed time = 38.04 | seconds power is 14 | number of threads is 6 | block size is 64,,,
elapsed time = 38.55 | seconds power is 15 | number of threads is 6 | block size is 64,,,
elapsed time = 39.06 | seconds power is 16 | number of threads is 6 | block size is 64,,,
1024 6 thread done,,,
elapsed time = 0.49 | seconds power is 2 | number of threads is 8 | block size is 4,,,
elapsed time = 0.96 | seconds power is 3 | number of threads is 8 | block size is 4,,,
elapsed time = 1.43 | seconds power is 4 | number of threads is 8 | block size is 4,,,
elapsed time = 1.90 | seconds power is 5 | number of threads is 8 | block size is 4,,,
elapsed time = 2.37 | seconds power is 6 | number of threads is 8 | block size is 4,,,
elapsed time = 2.84 | seconds power is 7 | number of threads is 8 | block size is 4,,,
elapsed time = 3.31 | seconds power is 8 | number of threads is 8 | block size is 4,,,
elapsed time = 3.78 | seconds power is 9 | number of threads is 8 | block size is 4,,,
elapsed time = 4.25 | seconds power is 10 | number of threads is 8 | block size is 4,,,
elapsed time = 4.71 | seconds power is 11 | number of threads is 8 | block size is 4,,,
elapsed time = 5.18 | seconds power is 12 | number of threads is 8 | block size is 4,,,
elapsed time = 5.64 | seconds power is 13 | number of threads is 8 | block size is 4,,,
elapsed time = 6.11 | seconds power is 14 | number of threads is 8 | block size is 4,,,
elapsed time = 6.58 | seconds power is 15 | number of threads is 8 | block size is 4,,,
elapsed time = 7.05 | seconds power is 16 | number of threads is 8 | block size is 4,,,
elapsed time = 7.46 | seconds power is 2 | number of threads is 8 | block size is 8,,,
elapsed time = 7.88 | seconds power is 3 | number of threads is 8 | block size is 8,,,
elapsed time = 8.29 | seconds power is 4 | number of threads is 8 | block size is 8,,,
elapsed time = 8.70 | seconds power is 5 | number of threads is 8 | block size is 8,,,
elapsed time = 9.11 | seconds power is 6 | number of threads is 8 | block size is 8,,,
elapsed time = 9.53 | seconds power is 7 | number of threads is 8 | block size is 8,,,
elapsed time = 9.94 | seconds power is 8 | number of threads is 8 | block size is 8,,,
elapsed time = 10.35 | seconds power is 9 | number of threads is 8 | block size is 8,,,
elapsed time = 10.76 | seconds power is 10 | number of threads is 8 | block size is 8,,,
elapsed time = 11.18 | seconds power is 11 | number of threads is 8 | block size is 8,,,
elapsed time = 11.59 | seconds power is 12 | number of threads is 8 | block size is 8,,,
elapsed time = 12.00 | seconds power is 13 | number of threads is 8 | block size is 8,,,
elapsed time = 12.41 | seconds power is 14 | number of threads is 8 | block size is 8,,,
elapsed time = 12.83 | seconds power is 15 | number of threads is 8 | block size is 8,,,
elapsed time = 13.24 | seconds power is 16 | number of threads is 8 | block size is 8,,,
elapsed time = 13.63 | seconds power is 2 | number of threads is 8 | block size is 16,,,
elapsed time = 14.02 | seconds power is 3 | number of threads is 8 | block size is 16,,,
elapsed time = 14.41 | seconds power is 4 | number of threads is 8 | block size is 16,,,
elapsed time = 14.80 | seconds power is 5 | number of threads is 8 | block size is 16,,,
elapsed time = 15.19 | seconds power is 6 | number of threads is 8 | block size is 16,,,
elapsed time = 15.58 | seconds power is 7 | number of threads is 8 | block size is 16,,,
elapsed time = 15.97 | seconds power is 8 | number of threads is 8 | block size is 16,,,
elapsed time = 16.36 | seconds power is 9 | number of threads is 8 | block size is 16,,,
elapsed time = 16.75 | seconds power is 10 | number of threads is 8 | block size is 16,,,
elapsed time = 17.14 | seconds power is 11 | number of threads is 8 | block size is 16,,,
elapsed time = 17.54 | seconds power is 12 | number of threads is 8 | block size is 16,,,
elapsed time = 17.93 | seconds power is 13 | number of threads is 8 | block size is 16,,,
