1024x1024 bmm  4,,,
elapsed time,power,no of threads,
3.28,2,1, block size is 4
6.36,3,1, block size is 4
9.31,4,1, block size is 4
12.27,5,1, block size is 4
15.2,6,1, block size is 4
18.14,7,1, block size is 4
21.08,8,1, block size is 4
24.03,9,1, block size is 4
26.98,10,1, block size is 4
29.89,11,1, block size is 4
32.82,12,1, block size is 4
35.75,13,1, block size is 4
38.74,14,1, block size is 4
41.91,15,1, block size is 4
44.91,16,1, block size is 4
47.53,2,1, block size is 8
50.15,3,1, block size is 8
52.78,4,1, block size is 8
55.41,5,1, block size is 8
58.02,6,1, block size is 8
60.65,7,1, block size is 8
63.27,8,1, block size is 8
65.88,9,1, block size is 8
68.51,10,1, block size is 8
71.13,11,1, block size is 8
73.73,12,1, block size is 8
76.35,13,1, block size is 8
78.96,14,1, block size is 8
81.57,15,1, block size is 8
84.19,16,1, block size is 8
86.61,2,1, block size is 16
89.04,3,1, block size is 16
91.45,4,1, block size is 16
93.87,5,1, block size is 16
96.29,6,1, block size is 16
98.71,7,1, block size is 16
101.13,8,1, block size is 16
103.56,9,1, block size is 16
105.98,10,1, block size is 16
108.4,11,1, block size is 16
110.82,12,1, block size is 16
113.25,13,1, block size is 16
115.66,14,1, block size is 16
118.08,15,1, block size is 16
120.5,16,1, block size is 16
122.9,2,1, block size is 32
125.31,3,1, block size is 32
127.71,4,1, block size is 32
130.13,5,1, block size is 32
132.54,6,1, block size is 32
134.95,7,1, block size is 32
137.36,8,1, block size is 32
139.77,9,1, block size is 32
142.18,10,1, block size is 32
144.58,11,1, block size is 32
146.99,12,1, block size is 32
149.4,13,1, block size is 32
151.81,14,1, block size is 32
154.21,15,1, block size is 32
156.62,16,1, block size is 32
159,2,1, block size is 64
161.38,3,1, block size is 64
163.77,4,1, block size is 64
166.15,5,1, block size is 64
168.54,6,1, block size is 64
170.92,7,1, block size is 64
173.31,8,1, block size is 64
175.69,9,1, block size is 64
178.07,10,1, block size is 64
180.46,11,1, block size is 64
182.84,12,1, block size is 64
185.23,13,1, block size is 64
187.61,14,1, block size is 64
190,15,1, block size is 64
192.38,16,1, block size is 64
1024 1 thread done,,,
1.53,2,2, block size is 4
3.01,3,2, block size is 4
4.48,4,2, block size is 4
5.97,5,2, block size is 4
7.44,6,2, block size is 4
8.92,7,2, block size is 4
10.4,8,2, block size is 4
11.9,9,2, block size is 4
13.38,10,2, block size is 4
14.85,11,2, block size is 4
16.34,12,2, block size is 4
17.82,13,2, block size is 4
19.3,14,2, block size is 4
20.79,15,2, block size is 4
22.28,16,2, block size is 4
23.59,2,2, block size is 8
24.9,3,2, block size is 8
26.21,4,2, block size is 8
27.51,5,2, block size is 8
28.83,6,2, block size is 8
30.14,7,2, block size is 8
31.45,8,2, block size is 8
32.76,9,2, block size is 8
34.07,10,2, block size is 8
35.38,11,2, block size is 8
36.68,12,2, block size is 8
37.98,13,2, block size is 8
39.3,14,2, block size is 8
40.6,15,2, block size is 8
41.91,16,2, block size is 8
43.13,2,2, block size is 16
44.35,3,2, block size is 16
45.57,4,2, block size is 16
46.79,5,2, block size is 16
48.01,6,2, block size is 16
49.24,7,2, block size is 16
50.46,8,2, block size is 16
51.68,9,2, block size is 16
52.9,10,2, block size is 16
54.13,11,2, block size is 16
55.35,12,2, block size is 16
56.57,13,2, block size is 16
57.79,14,2, block size is 16
59,15,2, block size is 16
60.21,16,2, block size is 16
61.41,2,2, block size is 32
62.62,3,2, block size is 32
63.85,4,2, block size is 32
65.07,5,2, block size is 32
66.3,6,2, block size is 32
67.52,7,2, block size is 32
68.74,8,2, block size is 32
69.96,9,2, block size is 32
71.19,10,2, block size is 32
72.41,11,2, block size is 32
73.63,12,2, block size is 32
74.85,13,2, block size is 32
76.07,14,2, block size is 32
77.3,15,2, block size is 32
78.52,16,2, block size is 32
79.73,2,2, block size is 64
80.95,3,2, block size is 64
82.16,4,2, block size is 64
83.38,5,2, block size is 64
84.59,6,2, block size is 64
85.79,7,2, block size is 64
87,8,2, block size is 64
88.19,9,2, block size is 64
elapsed time = 89.40 | seconds power is 10 | number of threads is 2 | block size is 64,,,
elapsed time = 90.62 | seconds power is 11 | number of threads is 2 | block size is 64,,,
elapsed time = 91.83 | seconds power is 12 | number of threads is 2 | block size is 64,,,
elapsed time = 93.03 | seconds power is 13 | number of threads is 2 | block size is 64,,,
elapsed time = 94.24 | seconds power is 14 | number of threads is 2 | block size is 64,,,
elapsed time = 95.43 | seconds power is 15 | number of threads is 2 | block size is 64,,,
elapsed time = 96.63 | seconds power is 16 | number of threads is 2 | block size is 64,,,
1024 2 thread done,,,
elapsed time = 0.79 | seconds power is 2 | number of threads is 4 | block size is 4,,,
elapsed time = 1.53 | seconds power is 3 | number of threads is 4 | block size is 4,,,
elapsed time = 2.28 | seconds power is 4 | number of threads is 4 | block size is 4,,,
elapsed time = 3.03 | seconds power is 5 | number of threads is 4 | block size is 4,,,
elapsed time = 3.77 | seconds power is 6 | number of threads is 4 | block size is 4,,,
elapsed time = 4.51 | seconds power is 7 | number of threads is 4 | block size is 4,,,
elapsed time = 5.25 | seconds power is 8 | number of threads is 4 | block size is 4,,,
elapsed time = 6.00 | seconds power is 9 | number of threads is 4 | block size is 4,,,
elapsed time = 6.75 | seconds power is 10 | number of threads is 4 | block size is 4,,,
elapsed time = 7.49 | seconds power is 11 | number of threads is 4 | block size is 4,,,
elapsed time = 8.23 | seconds power is 12 | number of threads is 4 | block size is 4,,,
elapsed time = 8.97 | seconds power is 13 | number of threads is 4 | block size is 4,,,
elapsed time = 9.71 | seconds power is 14 | number of threads is 4 | block size is 4,,,
elapsed time = 10.46 | seconds power is 15 | number of threads is 4 | block size is 4,,,
elapsed time = 11.20 | seconds power is 16 | number of threads is 4 | block size is 4,,,
elapsed time = 11.86 | seconds power is 2 | number of threads is 4 | block size is 8,,,
elapsed time = 12.53 | seconds power is 3 | number of threads is 4 | block size is 8,,,
elapsed time = 13.20 | seconds power is 4 | number of threads is 4 | block size is 8,,,
elapsed time = 13.87 | seconds power is 5 | number of threads is 4 | block size is 8,,,
elapsed time = 14.53 | seconds power is 6 | number of threads is 4 | block size is 8,,,
elapsed time = 15.20 | seconds power is 7 | number of threads is 4 | block size is 8,,,
elapsed time = 15.87 | seconds power is 8 | number of threads is 4 | block size is 8,,,
elapsed time = 16.53 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 17.20 | seconds power is 10 | number of threads is 4 | block size is 8,,,
elapsed time = 17.87 | seconds power is 11 | number of threads is 4 | block size is 8,,,
elapsed time = 18.53 | seconds power is 12 | number of threads is 4 | block size is 8,,,
elapsed time = 19.20 | seconds power is 13 | number of threads is 4 | block size is 8,,,
elapsed time = 19.87 | seconds power is 14 | number of threads is 4 | block size is 8,,,
elapsed time = 20.53 | seconds power is 15 | number of threads is 4 | block size is 8,,,
elapsed time = 21.20 | seconds power is 16 | number of threads is 4 | block size is 8,,,
elapsed time = 21.89 | seconds power is 2 | number of threads is 4 | block size is 16,,,
elapsed time = 22.58 | seconds power is 3 | number of threads is 4 | block size is 16,,,
elapsed time = 23.23 | seconds power is 4 | number of threads is 4 | block size is 16,,,
elapsed time = 23.88 | seconds power is 5 | number of threads is 4 | block size is 16,,,
elapsed time = 24.53 | seconds power is 6 | number of threads is 4 | block size is 16,,,
elapsed time = 25.17 | seconds power is 7 | number of threads is 4 | block size is 16,,,
elapsed time = 25.82 | seconds power is 8 | number of threads is 4 | block size is 16,,,
elapsed time = 26.47 | seconds power is 9 | number of threads is 4 | block size is 16,,,
elapsed time = 27.12 | seconds power is 10 | number of threads is 4 | block size is 16,,,
elapsed time = 27.77 | seconds power is 11 | number of threads is 4 | block size is 16,,,
elapsed time = 28.42 | seconds power is 12 | number of threads is 4 | block size is 16,,,
elapsed time = 29.07 | seconds power is 13 | number of threads is 4 | block size is 16,,,
elapsed time = 29.72 | seconds power is 14 | number of threads is 4 | block size is 16,,,
elapsed time = 30.36 | seconds power is 15 | number of threads is 4 | block size is 16,,,
elapsed time = 31.02 | seconds power is 16 | number of threads is 4 | block size is 16,,,
elapsed time = 31.67 | seconds power is 2 | number of threads is 4 | block size is 32,,,
elapsed time = 32.32 | seconds power is 3 | number of threads is 4 | block size is 32,,,
elapsed time = 32.97 | seconds power is 4 | number of threads is 4 | block size is 32,,,
elapsed time = 33.62 | seconds power is 5 | number of threads is 4 | block size is 32,,,
elapsed time = 34.27 | seconds power is 6 | number of threads is 4 | block size is 32,,,
elapsed time = 34.92 | seconds power is 7 | number of threads is 4 | block size is 32,,,
elapsed time = 35.57 | seconds power is 8 | number of threads is 4 | block size is 32,,,
elapsed time = 36.22 | seconds power is 9 | number of threads is 4 | block size is 32,,,
elapsed time = 36.87 | seconds power is 10 | number of threads is 4 | block size is 32,,,
elapsed time = 37.52 | seconds power is 11 | number of threads is 4 | block size is 32,,,
elapsed time = 38.17 | seconds power is 12 | number of threads is 4 | block size is 32,,,
elapsed time = 38.82 | seconds power is 13 | number of threads is 4 | block size is 32,,,
elapsed time = 39.47 | seconds power is 14 | number of threads is 4 | block size is 32,,,
elapsed time = 40.12 | seconds power is 15 | number of threads is 4 | block size is 32,,,
elapsed time = 40.77 | seconds power is 16 | number of threads is 4 | block size is 32,,,
elapsed time = 41.42 | seconds power is 2 | number of threads is 4 | block size is 64,,,
elapsed time = 42.06 | seconds power is 3 | number of threads is 4 | block size is 64,,,
elapsed time = 42.70 | seconds power is 4 | number of threads is 4 | block size is 64,,,
elapsed time = 43.35 | seconds power is 5 | number of threads is 4 | block size is 64,,,
elapsed time = 43.99 | seconds power is 6 | number of threads is 4 | block size is 64,,,
elapsed time = 44.63 | seconds power is 7 | number of threads is 4 | block size is 64,,,
elapsed time = 45.27 | seconds power is 8 | number of threads is 4 | block size is 64,,,
elapsed time = 45.91 | seconds power is 9 | number of threads is 4 | block size is 64,,,
