1024x1024 bmm  1,,,
elapsed time,power,no of threads,
1.47,2,2, block size is 4
2.88,3,2, block size is 4
4.3,4,2, block size is 4
5.72,5,2, block size is 4
7.13,6,2, block size is 4
8.55,7,2, block size is 4
9.96,8,2, block size is 4
11.38,9,2, block size is 4
12.8,10,2, block size is 4
14.21,11,2, block size is 4
15.62,12,2, block size is 4
17.05,13,2, block size is 4
18.47,14,2, block size is 4
19.88,15,2, block size is 4
21.3,16,2, block size is 4
22.55,2,2, block size is 8
23.81,3,2, block size is 8
25.1,4,2, block size is 8
26.36,5,2, block size is 8
27.62,6,2, block size is 8
28.88,7,2, block size is 8
30.14,8,2, block size is 8
31.41,9,2, block size is 8
32.67,10,2, block size is 8
33.93,11,2, block size is 8
35.19,12,2, block size is 8
36.44,13,2, block size is 8
37.7,14,2, block size is 8
38.97,15,2, block size is 8
40.23,16,2, block size is 8
41.41,2,2, block size is 16
42.6,3,2, block size is 16
43.79,4,2, block size is 16
44.98,5,2, block size is 16
46.17,6,2, block size is 16
47.35,7,2, block size is 16
48.54,8,2, block size is 16
49.73,9,2, block size is 16
50.92,10,2, block size is 16
52.11,11,2, block size is 16
53.3,12,2, block size is 16
54.48,13,2, block size is 16
55.67,14,2, block size is 16
56.86,15,2, block size is 16
58.05,16,2, block size is 16
59.24,2,2, block size is 32
60.43,3,2, block size is 32
61.63,4,2, block size is 32
62.82,5,2, block size is 32
64.02,6,2, block size is 32
65.22,7,2, block size is 32
66.41,8,2, block size is 32
67.6,9,2, block size is 32
68.8,10,2, block size is 32
69.99,11,2, block size is 32
71.18,12,2, block size is 32
72.38,13,2, block size is 32
73.57,14,2, block size is 32
74.77,15,2, block size is 32
75.96,16,2, block size is 32
77.15,2,2, block size is 64
78.34,3,2, block size is 64
79.53,4,2, block size is 64
80.72,5,2, block size is 64
81.91,6,2, block size is 64
83.09,7,2, block size is 64
84.28,8,2, block size is 64
85.47,9,2, block size is 64
86.66,10,2, block size is 64
87.85,11,2, block size is 64
89.04,12,2, block size is 64
90.22,13,2, block size is 64
91.41,14,2, block size is 64
92.6,15,2, block size is 64
93.79,16,2, block size is 64
1024 2 thread done,,,
0.76,2,4, block size is 4
1.48,3,4, block size is 4
2.21,4,4, block size is 4
2.93,5,4, block size is 4
3.65,6,4, block size is 4
4.38,7,4, block size is 4
5.11,8,4, block size is 4
