2048x2048 bmm 4,,,
elapsed time,power,no of threads,
32.83,2,1, block size is 4
65.19,3,1, block size is 4
97.6,4,1, block size is 4
130,5,1, block size is 4
162.39,6,1, block size is 4
194.92,7,1, block size is 4
227.23,8,1, block size is 4
259.91,9,1, block size is 4
292.31,10,1, block size is 4
324.66,11,1, block size is 4
357.13,12,1, block size is 4
389.48,13,1, block size is 4
421.86,14,1, block size is 4
454.25,15,1, block size is 4
486.48,16,1, block size is 4
508.24,2,1, block size is 8
530.01,3,1, block size is 8
551.76,4,1, block size is 8
573.51,5,1, block size is 8
595.28,6,1, block size is 8
617.05,7,1, block size is 8
638.8,8,1, block size is 8
660.58,9,1, block size is 8
682.35,10,1, block size is 8
704.1,11,1, block size is 8
725.9,12,1, block size is 8
747.69,13,1, block size is 8
769.43,14,1, block size is 8
791.18,15,1, block size is 8
812.96,16,1, block size is 8
833.32,2,1, block size is 16
853.68,3,1, block size is 16
874.04,4,1, block size is 16
894.4,5,1, block size is 16
914.6,6,1, block size is 16
934.95,7,1, block size is 16
955.29,8,1, block size is 16
975.66,9,1, block size is 16
996.02,10,1, block size is 16
1016.38,11,1, block size is 16
1036.74,12,1, block size is 16
1057.1,13,1, block size is 16
1077.46,14,1, block size is 16
1097.81,15,1, block size is 16
1118.17,16,1, block size is 16
1138.5,2,1, block size is 32
1158.83,3,1, block size is 32
1179.16,4,1, block size is 32
1199.5,5,1, block size is 32
1219.84,6,1, block size is 32
1240.17,7,1, block size is 32
1260.51,8,1, block size is 32
1280.84,9,1, block size is 32
1301.18,10,1, block size is 32
1321.51,11,1, block size is 32
1341.85,12,1, block size is 32
1362.19,13,1, block size is 32
1382.52,14,1, block size is 32
1402.86,15,1, block size is 32
1423.19,16,1, block size is 32
1443.05,2,1, block size is 64
1462.91,3,1, block size is 64
1482.76,4,1, block size is 64
1502.62,5,1, block size is 64
1522.47,6,1, block size is 64
1542.33,7,1, block size is 64
1562.19,8,1, block size is 64
1582.05,9,1, block size is 64
1601.9,10,1, block size is 64
1621.79,11,1, block size is 64
1641.67,12,1, block size is 64
1661.54,13,1, block size is 64
1681.4,14,1, block size is 64
