2048x2048 bmm 2,,,
elapsed time,power,no of threads,
elapsed time = 167.21 | seconds power is 8 | number of threads is 4 | block size is 8,,,
elapsed time = 172.93 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 178.65 | seconds power is 10 | number of threads is 4 | block size is 8,,,
elapsed time = 184.38 | seconds power is 11 | number of threads is 4 | block size is 8,,,
elapsed time = 189.84 | seconds power is 12 | number of threads is 4 | block size is 8,,,
elapsed time = 195.29 | seconds power is 13 | number of threads is 4 | block size is 8,,,
elapsed time = 200.75 | seconds power is 14 | number of threads is 4 | block size is 8,,,
elapsed time = 206.20 | seconds power is 15 | number of threads is 4 | block size is 8,,,
elapsed time = 211.65 | seconds power is 16 | number of threads is 4 | block size is 8,,,
elapsed time = 216.97 | seconds power is 2 | number of threads is 4 | block size is 16,,,
elapsed time = 222.29 | seconds power is 3 | number of threads is 4 | block size is 16,,,
elapsed time = 227.61 | seconds power is 4 | number of threads is 4 | block size is 16,,,
elapsed time = 232.92 | seconds power is 5 | number of threads is 4 | block size is 16,,,
elapsed time = 238.23 | seconds power is 6 | number of threads is 4 | block size is 16,,,
elapsed time = 243.55 | seconds power is 7 | number of threads is 4 | block size is 16,,,
elapsed time = 248.87 | seconds power is 8 | number of threads is 4 | block size is 16,,,
elapsed time = 254.20 | seconds power is 9 | number of threads is 4 | block size is 16,,,
elapsed time = 259.55 | seconds power is 10 | number of threads is 4 | block size is 16,,,
elapsed time = 264.96 | seconds power is 11 | number of threads is 4 | block size is 16,,,
elapsed time = 270.26 | seconds power is 12 | number of threads is 4 | block size is 16,,,
elapsed time = 275.65 | seconds power is 13 | number of threads is 4 | block size is 16,,,
elapsed time = 281.03 | seconds power is 14 | number of threads is 4 | block size is 16,,,
elapsed time = 286.33 | seconds power is 15 | number of threads is 4 | block size is 16,,,
elapsed time = 291.64 | seconds power is 16 | number of threads is 4 | block size is 16,,,
elapsed time = 297.05 | seconds power is 2 | number of threads is 4 | block size is 32,,,
elapsed time = 302.47 | seconds power is 3 | number of threads is 4 | block size is 32,,,
elapsed time = 307.88 | seconds power is 4 | number of threads is 4 | block size is 32,,,
elapsed time = 313.30 | seconds power is 5 | number of threads is 4 | block size is 32,,,
