1024x1024 bmm transpose 3,,,
elapsed time,power,no of threads,
2.86,2,1, block size is 4
5.69,3,1, block size is 4
8.51,4,1, block size is 4
11.32,5,1, block size is 4
14.14,6,1, block size is 4
16.95,7,1, block size is 4
19.78,8,1, block size is 4
22.6,9,1, block size is 4
25.46,10,1, block size is 4
28.31,11,1, block size is 4
31.13,12,1, block size is 4
33.94,13,1, block size is 4
36.76,14,1, block size is 4
39.58,15,1, block size is 4
42.39,16,1, block size is 4
44.9,2,1, block size is 8
47.41,3,1, block size is 8
49.93,4,1, block size is 8
52.44,5,1, block size is 8
54.94,6,1, block size is 8
57.45,7,1, block size is 8
59.96,8,1, block size is 8
62.47,9,1, block size is 8
65,10,1, block size is 8
67.51,11,1, block size is 8
70.02,12,1, block size is 8
72.54,13,1, block size is 8
75.04,14,1, block size is 8
77.56,15,1, block size is 8
80.07,16,1, block size is 8
82.43,2,1, block size is 16
84.8,3,1, block size is 16
87.17,4,1, block size is 16
89.55,5,1, block size is 16
91.92,6,1, block size is 16
94.31,7,1, block size is 16
96.68,8,1, block size is 16
99.05,9,1, block size is 16
101.42,10,1, block size is 16
103.79,11,1, block size is 16
106.16,12,1, block size is 16
108.53,13,1, block size is 16
110.91,14,1, block size is 16
113.27,15,1, block size is 16
115.64,16,1, block size is 16
118.02,2,1, block size is 32
120.4,3,1, block size is 32
122.79,4,1, block size is 32
125.18,5,1, block size is 32
127.57,6,1, block size is 32
129.95,7,1, block size is 32
132.33,8,1, block size is 32
134.71,9,1, block size is 32
137.1,10,1, block size is 32
139.49,11,1, block size is 32
141.87,12,1, block size is 32
144.25,13,1, block size is 32
146.64,14,1, block size is 32
149.02,15,1, block size is 32
151.41,16,1, block size is 32
153.78,2,1, block size is 64
156.15,3,1, block size is 64
158.52,4,1, block size is 64
160.89,5,1, block size is 64
163.26,6,1, block size is 64
165.63,7,1, block size is 64
168,8,1, block size is 64
170.37,9,1, block size is 64
172.74,10,1, block size is 64
175.11,11,1, block size is 64
177.48,12,1, block size is 64
179.84,13,1, block size is 64
182.21,14,1, block size is 64
184.58,15,1, block size is 64
186.95,16,1, block size is 64
1024 1 thread done,,,
1.45,2,2, block size is 4
2.86,3,2, block size is 4
4.27,4,2, block size is 4
5.68,5,2, block size is 4
7.09,6,2, block size is 4
8.5,7,2, block size is 4
9.91,8,2, block size is 4
11.32,9,2, block size is 4
12.73,10,2, block size is 4
14.14,11,2, block size is 4
15.55,12,2, block size is 4
16.97,13,2, block size is 4
18.38,14,2, block size is 4
19.79,15,2, block size is 4
21.2,16,2, block size is 4
22.46,2,2, block size is 8
23.72,3,2, block size is 8
24.97,4,2, block size is 8
26.23,5,2, block size is 8
27.49,6,2, block size is 8
28.74,7,2, block size is 8
30.01,8,2, block size is 8
31.27,9,2, block size is 8
32.53,10,2, block size is 8
33.79,11,2, block size is 8
35.05,12,2, block size is 8
36.31,13,2, block size is 8
37.57,14,2, block size is 8
38.83,15,2, block size is 8
40.09,16,2, block size is 8
41.28,2,2, block size is 16
42.46,3,2, block size is 16
43.65,4,2, block size is 16
44.84,5,2, block size is 16
46.02,6,2, block size is 16
47.21,7,2, block size is 16
48.4,8,2, block size is 16
49.58,9,2, block size is 16
50.77,10,2, block size is 16
51.96,11,2, block size is 16
53.14,12,2, block size is 16
54.33,13,2, block size is 16
55.52,14,2, block size is 16
56.7,15,2, block size is 16
57.89,16,2, block size is 16
59.08,2,2, block size is 32
60.28,3,2, block size is 32
61.48,4,2, block size is 32
62.67,5,2, block size is 32
63.87,6,2, block size is 32
65.07,7,2, block size is 32
66.26,8,2, block size is 32
67.46,9,2, block size is 32
68.66,10,2, block size is 32
69.85,11,2, block size is 32
71.05,12,2, block size is 32
72.24,13,2, block size is 32
73.43,14,2, block size is 32
74.63,15,2, block size is 32
75.82,16,2, block size is 32
77.01,2,2, block size is 64
78.2,3,2, block size is 64
79.38,4,2, block size is 64
80.57,5,2, block size is 64
81.76,6,2, block size is 64
82.95,7,2, block size is 64
84.13,8,2, block size is 64
85.32,9,2, block size is 64
elapsed time = 86.51 | seconds power is 10 | number of threads is 2 | block size is 64,,,
elapsed time = 87.69 | seconds power is 11 | number of threads is 2 | block size is 64,,,
elapsed time = 88.88 | seconds power is 12 | number of threads is 2 | block size is 64,,,
elapsed time = 90.07 | seconds power is 13 | number of threads is 2 | block size is 64,,,
elapsed time = 91.26 | seconds power is 14 | number of threads is 2 | block size is 64,,,
elapsed time = 92.44 | seconds power is 15 | number of threads is 2 | block size is 64,,,
elapsed time = 93.63 | seconds power is 16 | number of threads is 2 | block size is 64,,,
1024 2 thread done,,,
elapsed time = 0.79 | seconds power is 2 | number of threads is 4 | block size is 4,,,
elapsed time = 1.51 | seconds power is 3 | number of threads is 4 | block size is 4,,,
elapsed time = 2.24 | seconds power is 4 | number of threads is 4 | block size is 4,,,
elapsed time = 2.96 | seconds power is 5 | number of threads is 4 | block size is 4,,,
elapsed time = 3.68 | seconds power is 6 | number of threads is 4 | block size is 4,,,
elapsed time = 4.41 | seconds power is 7 | number of threads is 4 | block size is 4,,,
elapsed time = 5.13 | seconds power is 8 | number of threads is 4 | block size is 4,,,
elapsed time = 5.85 | seconds power is 9 | number of threads is 4 | block size is 4,,,
elapsed time = 6.57 | seconds power is 10 | number of threads is 4 | block size is 4,,,
elapsed time = 7.29 | seconds power is 11 | number of threads is 4 | block size is 4,,,
elapsed time = 8.02 | seconds power is 12 | number of threads is 4 | block size is 4,,,
elapsed time = 8.74 | seconds power is 13 | number of threads is 4 | block size is 4,,,
