1024x1024 bmm transpose 1,,,
elapsed time,power,no of threads,
elapsed time = 17.23 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 17.92 | seconds power is 10 | number of threads is 4 | block size is 8,,,
elapsed time = 18.61 | seconds power is 11 | number of threads is 4 | block size is 8,,,
elapsed time = 19.30 | seconds power is 12 | number of threads is 4 | block size is 8,,,
elapsed time = 19.99 | seconds power is 13 | number of threads is 4 | block size is 8,,,
elapsed time = 20.69 | seconds power is 14 | number of threads is 4 | block size is 8,,,
elapsed time = 21.38 | seconds power is 15 | number of threads is 4 | block size is 8,,,
elapsed time = 22.07 | seconds power is 16 | number of threads is 4 | block size is 8,,,
elapsed time = 22.71 | seconds power is 2 | number of threads is 4 | block size is 16,,,
elapsed time = 23.36 | seconds power is 3 | number of threads is 4 | block size is 16,,,
elapsed time = 24.00 | seconds power is 4 | number of threads is 4 | block size is 16,,,
elapsed time = 24.65 | seconds power is 5 | number of threads is 4 | block size is 16,,,
elapsed time = 25.30 | seconds power is 6 | number of threads is 4 | block size is 16,,,
elapsed time = 25.94 | seconds power is 7 | number of threads is 4 | block size is 16,,,
elapsed time = 26.60 | seconds power is 8 | number of threads is 4 | block size is 16,,,
elapsed time = 27.26 | seconds power is 9 | number of threads is 4 | block size is 16,,,
elapsed time = 27.91 | seconds power is 10 | number of threads is 4 | block size is 16,,,
elapsed time = 28.57 | seconds power is 11 | number of threads is 4 | block size is 16,,,
elapsed time = 29.22 | seconds power is 12 | number of threads is 4 | block size is 16,,,
elapsed time = 29.87 | seconds power is 13 | number of threads is 4 | block size is 16,,,
elapsed time = 30.53 | seconds power is 14 | number of threads is 4 | block size is 16,,,
elapsed time = 31.17 | seconds power is 15 | number of threads is 4 | block size is 16,,,
elapsed time = 31.82 | seconds power is 16 | number of threads is 4 | block size is 16,,,
elapsed time = 32.47 | seconds power is 2 | number of threads is 4 | block size is 32,,,
elapsed time = 33.12 | seconds power is 3 | number of threads is 4 | block size is 32,,,
elapsed time = 33.76 | seconds power is 4 | number of threads is 4 | block size is 32,,,
elapsed time = 34.41 | seconds power is 5 | number of threads is 4 | block size is 32,,,
elapsed time = 35.06 | seconds power is 6 | number of threads is 4 | block size is 32,,,
elapsed time = 35.71 | seconds power is 7 | number of threads is 4 | block size is 32,,,
elapsed time = 36.37 | seconds power is 8 | number of threads is 4 | block size is 32,,,
elapsed time = 37.03 | seconds power is 9 | number of threads is 4 | block size is 32,,,
elapsed time = 37.68 | seconds power is 10 | number of threads is 4 | block size is 32,,,
elapsed time = 38.33 | seconds power is 11 | number of threads is 4 | block size is 32,,,
elapsed time = 38.98 | seconds power is 12 | number of threads is 4 | block size is 32,,,
elapsed time = 39.62 | seconds power is 13 | number of threads is 4 | block size is 32,,,
elapsed time = 40.27 | seconds power is 14 | number of threads is 4 | block size is 32,,,
elapsed time = 40.91 | seconds power is 15 | number of threads is 4 | block size is 32,,,
elapsed time = 41.56 | seconds power is 16 | number of threads is 4 | block size is 32,,,
elapsed time = 42.20 | seconds power is 2 | number of threads is 4 | block size is 64,,,
elapsed time = 42.84 | seconds power is 3 | number of threads is 4 | block size is 64,,,
elapsed time = 43.48 | seconds power is 4 | number of threads is 4 | block size is 64,,,
elapsed time = 44.13 | seconds power is 5 | number of threads is 4 | block size is 64,,,
