1024x1024 bmm transpose 4,,,
elapsed time,power,no of threads,
2.97,2,1, block size is 4
5.89,3,1, block size is 4
8.81,4,1, block size is 4
11.62,5,1, block size is 4
14.43,6,1, block size is 4
17.23,7,1, block size is 4
20.03,8,1, block size is 4
22.84,9,1, block size is 4
25.64,10,1, block size is 4
28.44,11,1, block size is 4
31.25,12,1, block size is 4
34.05,13,1, block size is 4
36.89,14,1, block size is 4
39.78,15,1, block size is 4
42.63,16,1, block size is 4
45.14,2,1, block size is 8
47.65,3,1, block size is 8
50.16,4,1, block size is 8
52.67,5,1, block size is 8
55.19,6,1, block size is 8
57.69,7,1, block size is 8
60.21,8,1, block size is 8
62.72,9,1, block size is 8
65.23,10,1, block size is 8
67.74,11,1, block size is 8
70.26,12,1, block size is 8
72.77,13,1, block size is 8
75.27,14,1, block size is 8
77.78,15,1, block size is 8
80.29,16,1, block size is 8
82.65,2,1, block size is 16
85.03,3,1, block size is 16
87.4,4,1, block size is 16
89.76,5,1, block size is 16
92.13,6,1, block size is 16
94.5,7,1, block size is 16
96.87,8,1, block size is 16
99.24,9,1, block size is 16
101.62,10,1, block size is 16
103.99,11,1, block size is 16
106.36,12,1, block size is 16
108.73,13,1, block size is 16
111.1,14,1, block size is 16
113.47,15,1, block size is 16
115.84,16,1, block size is 16
118.22,2,1, block size is 32
120.6,3,1, block size is 32
122.99,4,1, block size is 32
125.38,5,1, block size is 32
127.76,6,1, block size is 32
130.15,7,1, block size is 32
132.53,8,1, block size is 32
134.92,9,1, block size is 32
137.31,10,1, block size is 32
139.7,11,1, block size is 32
142.08,12,1, block size is 32
144.47,13,1, block size is 32
146.85,14,1, block size is 32
149.24,15,1, block size is 32
151.63,16,1, block size is 32
153.99,2,1, block size is 64
156.36,3,1, block size is 64
158.73,4,1, block size is 64
161.09,5,1, block size is 64
163.46,6,1, block size is 64
165.83,7,1, block size is 64
168.2,8,1, block size is 64
170.56,9,1, block size is 64
172.93,10,1, block size is 64
175.3,11,1, block size is 64
177.67,12,1, block size is 64
180.03,13,1, block size is 64
182.4,14,1, block size is 64
184.77,15,1, block size is 64
187.14,16,1, block size is 64
1024 1 thread done,,,
1.44,2,2, block size is 4
2.85,3,2, block size is 4
4.26,4,2, block size is 4
5.68,5,2, block size is 4
7.1,6,2, block size is 4
