1024x1024 bmm transpose 5,,,
elapsed time,power,no of threads,
3.36,2,1, block size is 4
6.19,3,1, block size is 4
9.01,4,1, block size is 4
11.83,5,1, block size is 4
14.64,6,1, block size is 4
17.45,7,1, block size is 4
20.26,8,1, block size is 4
23.08,9,1, block size is 4
25.9,10,1, block size is 4
28.71,11,1, block size is 4
31.52,12,1, block size is 4
34.33,13,1, block size is 4
37.14,14,1, block size is 4
39.97,15,1, block size is 4
42.77,16,1, block size is 4
45.27,2,1, block size is 8
47.78,3,1, block size is 8
50.29,4,1, block size is 8
52.8,5,1, block size is 8
55.32,6,1, block size is 8
57.83,7,1, block size is 8
60.38,8,1, block size is 8
62.89,9,1, block size is 8
65.39,10,1, block size is 8
67.91,11,1, block size is 8
70.43,12,1, block size is 8
72.93,13,1, block size is 8
75.44,14,1, block size is 8
77.95,15,1, block size is 8
80.46,16,1, block size is 8
82.83,2,1, block size is 16
85.21,3,1, block size is 16
87.58,4,1, block size is 16
89.94,5,1, block size is 16
92.31,6,1, block size is 16
94.68,7,1, block size is 16
97.05,8,1, block size is 16
99.42,9,1, block size is 16
101.79,10,1, block size is 16
104.17,11,1, block size is 16
106.54,12,1, block size is 16
108.9,13,1, block size is 16
111.28,14,1, block size is 16
113.65,15,1, block size is 16
116.01,16,1, block size is 16
118.4,2,1, block size is 32
120.78,3,1, block size is 32
123.17,4,1, block size is 32
125.56,5,1, block size is 32
127.94,6,1, block size is 32
130.33,7,1, block size is 32
132.72,8,1, block size is 32
135.1,9,1, block size is 32
137.49,10,1, block size is 32
139.87,11,1, block size is 32
142.26,12,1, block size is 32
144.65,13,1, block size is 32
147.04,14,1, block size is 32
149.42,15,1, block size is 32
151.81,16,1, block size is 32
154.18,2,1, block size is 64
156.55,3,1, block size is 64
158.92,4,1, block size is 64
161.29,5,1, block size is 64
163.66,6,1, block size is 64
166.03,7,1, block size is 64
168.4,8,1, block size is 64
170.77,9,1, block size is 64
173.14,10,1, block size is 64
175.51,11,1, block size is 64
177.91,12,1, block size is 64
180.31,13,1, block size is 64
182.68,14,1, block size is 64
185.05,15,1, block size is 64
187.42,16,1, block size is 64
1024 1 thread done,,,
1.45,2,2, block size is 4
2.86,3,2, block size is 4
4.27,4,2, block size is 4
5.69,5,2, block size is 4
7.1,6,2, block size is 4
8.51,7,2, block size is 4
10.09,8,2, block size is 4
11.65,9,2, block size is 4
13.07,10,2, block size is 4
14.48,11,2, block size is 4
15.88,12,2, block size is 4
17.29,13,2, block size is 4
18.7,14,2, block size is 4
20.12,15,2, block size is 4
21.53,16,2, block size is 4
22.79,2,2, block size is 8
24.04,3,2, block size is 8
25.3,4,2, block size is 8
26.56,5,2, block size is 8
27.81,6,2, block size is 8
