512x512 bmm transpose 4,,,
Elapsed time,Power,No of threads,Block size
0.81,15,8,4
0.86,16,8,4
0.92,2,8,8
0.97,3,8,8
1.02,4,8,8
1.07,5,8,8
1.12,6,8,8
1.17,7,8,8
1.22,8,8,8
1.28,9,8,8
1.33,10,8,8
1.38,11,8,8
1.43,12,8,8
1.48,13,8,8
1.53,14,8,8
1.59,15,8,8
1.64,16,8,8
1.69,2,8,16
1.74,3,8,16
1.78,4,8,16
1.83,5,8,16
1.88,6,8,16
1.93,7,8,16
1.98,8,8,16
2.03,9,8,16
2.08,10,8,16
2.13,11,8,16
2.18,12,8,16
2.22,13,8,16
2.27,14,8,16
2.32,15,8,16
2.37,16,8,16
2.42,2,8,32
2.47,3,8,32
2.52,4,8,32
2.57,5,8,32
2.62,6,8,32
2.66,7,8,32
2.71,8,8,32
2.76,9,8,32
2.81,10,8,32
2.86,11,8,32
2.91,12,8,32
2.96,13,8,32
3.01,14,8,32
3.06,15,8,32
3.1,16,8,32
3.15,2,8,64
3.2,3,8,64
3.25,4,8,64
3.29,5,8,64
3.34,6,8,64
3.39,7,8,64
3.44,8,8,64
3.48,9,8,64
3.53,10,8,64
3.58,11,8,64
3.62,12,8,64
3.67,13,8,64
3.72,14,8,64
3.77,15,8,64
3.81,16,8,64
512 8 thread done,,,
0.07,2,10,4
0.14,3,10,4
0.2,4,10,4
0.26,5,10,4
0.33,6,10,4
0.4,7,10,4
0.46,8,10,4
0.53,9,10,4
0.6,10,10,4
0.67,11,10,4
0.73,12,10,4
0.8,13,10,4
0.87,14,10,4
0.94,15,10,4
1,16,10,4
1.07,2,10,8
1.13,3,10,8
1.19,4,10,8
1.25,5,10,8
1.32,6,10,8
1.38,7,10,8
1.44,8,10,8
1.5,9,10,8
1.56,10,10,8
1.62,11,10,8
1.68,12,10,8
1.74,13,10,8
1.81,14,10,8
1.87,15,10,8
1.93,16,10,8
2,2,10,16
2.06,3,10,16
2.13,4,10,16
2.19,5,10,16
2.25,6,10,16
2.31,7,10,16
2.38,8,10,16
2.42,9,10,16
2.48,10,10,16
2.53,11,10,16
2.58,12,10,16
2.63,13,10,16
2.69,14,10,16
2.74,15,10,16
2.79,16,10,16
2.85,2,10,32
2.9,3,10,32
2.95,4,10,32
3,5,10,32
3.04,6,10,32
3.09,7,10,32
3.14,8,10,32
3.19,9,10,32
3.24,10,10,32
3.29,11,10,32
3.34,12,10,32
3.39,13,10,32
3.44,14,10,32
3.48,15,10,32
3.53,16,10,32
3.58,2,10,64
3.63,3,10,64
3.67,4,10,64
3.72,5,10,64
3.77,6,10,64
3.82,7,10,64
3.86,8,10,64
3.91,9,10,64
3.96,10,10,64
4,11,10,64
4.05,12,10,64
4.1,13,10,64
4.15,14,10,64
4.19,15,10,64
4.24,16,10,64
512 10 thread done,,,
0.06,2,12,4
0.12,3,12,4
0.18,4,12,4
0.24,5,12,4
0.3,6,12,4
0.36,7,12,4
0.42,8,12,4
0.48,9,12,4
0.54,10,12,4
0.6,11,12,4
0.66,12,12,4
0.72,13,12,4
0.78,14,12,4
0.84,15,12,4
0.9,16,12,4
0.96,2,12,8
1.01,3,12,8
1.07,4,12,8
1.12,5,12,8
1.18,6,12,8
1.24,7,12,8
1.29,8,12,8
1.35,9,12,8
1.4,10,12,8
1.46,11,12,8
1.52,12,12,8
1.57,13,12,8
1.63,14,12,8
1.69,15,12,8
1.74,16,12,8
1.79,2,12,16
1.85,3,12,16
1.9,4,12,16
1.95,5,12,16
2,6,12,16
2.05,7,12,16
2.11,8,12,16
2.16,9,12,16
2.21,10,12,16
2.26,11,12,16
2.32,12,12,16
2.37,13,12,16
2.42,14,12,16
2.47,15,12,16
2.53,16,12,16
2.58,2,12,32
2.63,3,12,32
2.68,4,12,32
2.73,5,12,32
2.78,6,12,32
2.83,7,12,32
2.87,8,12,32
2.92,9,12,32
2.97,10,12,32
3.02,11,12,32
3.07,12,12,32
3.12,13,12,32
3.16,14,12,32
3.21,15,12,32
3.26,16,12,32
3.33,2,12,64
3.39,3,12,64
3.46,4,12,64
3.52,5,12,64
3.59,6,12,64
3.66,7,12,64
3.72,8,12,64
3.77,9,12,64
3.81,10,12,64
3.86,11,12,64
3.91,12,12,64
3.95,13,12,64
4,14,12,64
4.05,15,12,64
4.1,16,12,64
512 12 thread done,,,
0.07,2,14,4
0.12,3,14,4
0.18,4,14,4
0.24,5,14,4
0.3,6,14,4
0.37,7,14,4
0.43,8,14,4
0.49,9,14,4
0.54,10,14,4
0.6,11,14,4
0.67,12,14,4
0.72,13,14,4
0.8,14,14,4
0.85,15,14,4
0.92,16,14,4
0.97,2,14,8
1.03,3,14,8
1.09,4,14,8
1.14,5,14,8
1.21,6,14,8
1.26,7,14,8
1.32,8,14,8
1.38,9,14,8
1.44,10,14,8
1.5,11,14,8
1.56,12,14,8
1.62,13,14,8
1.68,14,14,8
1.74,15,14,8
1.8,16,14,8
