512x512 bmm transpose 3,,,
Elapsed time,Power,No of threads,Block size
0.36,2,1,4
0.71,3,1,4
1.05,4,1,4
1.39,5,1,4
1.75,6,1,4
2.1,7,1,4
2.46,8,1,4
2.8,9,1,4
3.15,10,1,4
3.49,11,1,4
3.84,12,1,4
4.18,13,1,4
4.53,14,1,4
4.87,15,1,4
5.21,16,1,4
5.52,2,1,8
5.83,3,1,8
6.15,4,1,8
6.46,5,1,8
6.77,6,1,8
7.09,7,1,8
7.4,8,1,8
7.72,9,1,8
8.05,10,1,8
8.37,11,1,8
8.68,12,1,8
9,13,1,8
9.33,14,1,8
9.65,15,1,8
9.97,16,1,8
10.26,2,1,16
10.56,3,1,16
10.86,4,1,16
11.15,5,1,16
11.45,6,1,16
11.75,7,1,16
12.04,8,1,16
12.34,9,1,16
12.63,10,1,16
12.93,11,1,16
13.23,12,1,16
13.52,13,1,16
13.82,14,1,16
14.12,15,1,16
14.41,16,1,16
14.71,2,1,32
15.01,3,1,32
15.31,4,1,32
15.6,5,1,32
15.9,6,1,32
16.2,7,1,32
16.5,8,1,32
16.79,9,1,32
17.09,10,1,32
17.39,11,1,32
17.69,12,1,32
17.99,13,1,32
18.28,14,1,32
18.58,15,1,32
18.88,16,1,32
19.17,2,1,64
19.45,3,1,64
19.74,4,1,64
20.03,5,1,64
20.31,6,1,64
20.6,7,1,64
20.89,8,1,64
21.18,9,1,64
21.46,10,1,64
21.75,11,1,64
22.04,12,1,64
22.32,13,1,64
22.61,14,1,64
22.9,15,1,64
23.19,16,1,64
512 1 thread done,,,
0.18,2,2,4
0.36,3,2,4
0.54,4,2,4
0.71,5,2,4
0.89,6,2,4
1.06,7,2,4
1.24,8,2,4
1.41,9,2,4
1.58,10,2,4
1.76,11,2,4
1.93,12,2,4
2.12,13,2,4
2.3,14,2,4
2.48,15,2,4
2.66,16,2,4
2.81,2,2,8
2.97,3,2,8
3.13,4,2,8
3.29,5,2,8
3.45,6,2,8
3.6,7,2,8
3.76,8,2,8
3.92,9,2,8
4.08,10,2,8
4.24,11,2,8
4.4,12,2,8
4.55,13,2,8
4.71,14,2,8
4.87,15,2,8
5.03,16,2,8
5.18,2,2,16
5.32,3,2,16
5.47,4,2,16
5.62,5,2,16
5.77,6,2,16
5.92,7,2,16
6.08,8,2,16
6.23,9,2,16
6.38,10,2,16
6.53,11,2,16
6.67,12,2,16
6.82,13,2,16
6.97,14,2,16
7.12,15,2,16
7.27,16,2,16
7.42,2,2,32
7.57,3,2,32
7.72,4,2,32
7.87,5,2,32
8.02,6,2,32
8.17,7,2,32
8.32,8,2,32
8.47,9,2,32
8.62,10,2,32
8.76,11,2,32
8.91,12,2,32
9.06,13,2,32
9.21,14,2,32
9.36,15,2,32
9.51,16,2,32
9.66,2,2,64
9.8,3,2,64
9.95,4,2,64
10.09,5,2,64
10.24,6,2,64
10.38,7,2,64
10.52,8,2,64
10.67,9,2,64
10.81,10,2,64
10.96,11,2,64
11.1,12,2,64
11.25,13,2,64
11.39,14,2,64
11.54,15,2,64
11.68,16,2,64
512 2 thread done,,,
0.1,2,4,4
0.19,3,4,4
0.28,4,4,4
0.37,5,4,4
0.46,6,4,4
0.55,7,4,4
0.64,8,4,4
0.73,9,4,4
0.82,10,4,4
0.91,11,4,4
1,12,4,4
1.09,13,4,4
1.18,14,4,4
1.27,15,4,4
1.36,16,4,4
1.44,2,4,8
1.53,3,4,8
1.61,4,4,8
1.69,5,4,8
1.77,6,4,8
1.85,7,4,8
1.93,8,4,8
2.01,9,4,8
2.09,10,4,8
2.17,11,4,8
2.25,12,4,8
2.33,13,4,8
2.41,14,4,8
2.5,15,4,8
2.58,16,4,8
2.65,2,4,16
2.73,3,4,16
2.81,4,4,16
2.88,5,4,16
2.96,6,4,16
3.04,7,4,16
3.11,8,4,16
3.19,9,4,16
3.26,10,4,16
3.34,11,4,16
3.42,12,4,16
3.49,13,4,16
3.57,14,4,16
3.65,15,4,16
3.72,16,4,16
3.8,2,4,32
3.88,3,4,32
3.95,4,4,32
4.03,5,4,32
4.11,6,4,32
4.18,7,4,32
4.26,8,4,32
4.34,9,4,32
4.41,10,4,32
4.49,11,4,32
4.57,12,4,32
4.64,13,4,32
4.72,14,4,32
4.8,15,4,32
4.87,16,4,32
4.95,2,4,64
5.02,3,4,64
5.09,4,4,64
5.17,5,4,64
5.24,6,4,64
5.32,7,4,64
5.39,8,4,64
5.46,9,4,64
5.54,10,4,64
5.61,11,4,64
5.69,12,4,64
5.76,13,4,64
5.83,14,4,64
5.91,15,4,64
5.98,16,4,64
512 4 thread done,,,
0.07,2,6,4
0.14,3,6,4
0.2,4,6,4
0.26,5,6,4
0.33,6,6,4
0.39,7,6,4
0.45,8,6,4
0.52,9,6,4
0.58,10,6,4
0.64,11,6,4
0.71,12,6,4
0.77,13,6,4
0.84,14,6,4
0.9,15,6,4
0.96,16,6,4
1.02,2,6,8
1.08,3,6,8
1.14,4,6,8
1.19,5,6,8
1.25,6,6,8
1.31,7,6,8
1.37,8,6,8
1.42,9,6,8
1.48,10,6,8
1.54,11,6,8
1.6,12,6,8
1.66,13,6,8
1.71,14,6,8
1.77,15,6,8
1.83,16,6,8
1.89,2,6,16
1.95,3,6,16
2.01,4,6,16
2.07,5,6,16
2.12,6,6,16
2.18,7,6,16
2.24,8,6,16
2.3,9,6,16
2.36,10,6,16
2.42,11,6,16
2.48,12,6,16
2.54,13,6,16
2.59,14,6,16
2.65,15,6,16
2.71,16,6,16
2.77,2,6,32
2.83,3,6,32
2.89,4,6,32
2.95,5,6,32
3.01,6,6,32
3.06,7,6,32
3.12,8,6,32
3.18,9,6,32
3.24,10,6,32
3.3,11,6,32
3.37,12,6,32
3.44,13,6,32
3.5,14,6,32
3.57,15,6,32
3.64,16,6,32
3.82,2,6,64
3.91,3,6,64
3.99,4,6,64
4.06,5,6,64
4.14,6,6,64
4.22,7,6,64
4.3,8,6,64
4.38,9,6,64
4.45,10,6,64
4.53,11,6,64
4.61,12,6,64
4.69,13,6,64
4.76,14,6,64
4.84,15,6,64
4.92,16,6,64
512 6 thread done,,,
0.07,2,8,4
0.13,3,8,4
0.18,4,8,4
0.24,5,8,4
0.29,6,8,4
0.35,7,8,4
0.41,8,8,4
0.47,9,8,4
0.53,10,8,4
0.58,11,8,4
0.64,12,8,4
0.7,13,8,4
0.76,14,8,4
0.82,15,8,4
0.87,16,8,4
0.92,2,8,8
0.98,3,8,8
1.03,4,8,8
1.08,5,8,8
1.13,6,8,8
1.18,7,8,8
1.23,8,8,8
1.29,9,8,8
1.34,10,8,8
1.39,11,8,8
1.44,12,8,8
1.49,13,8,8
1.55,14,8,8
1.6,15,8,8
1.65,16,8,8
1.7,2,8,16
1.75,3,8,16
1.79,4,8,16
1.84,5,8,16
1.89,6,8,16
1.94,7,8,16
1.99,8,8,16
2.04,9,8,16
2.09,10,8,16
2.14,11,8,16
2.19,12,8,16
2.24,13,8,16
2.28,14,8,16
2.33,15,8,16
