512x512 bmm transpose 2,,,
Elapsed time,Power,No of threads,Block size
0.37,2,1,4
0.72,3,1,4
1.06,4,1,4
1.41,5,1,4
1.75,6,1,4
2.1,7,1,4
2.45,8,1,4
2.79,9,1,4
3.14,10,1,4
3.48,11,1,4
3.83,12,1,4
4.18,13,1,4
4.52,14,1,4
4.86,15,1,4
5.21,16,1,4
5.52,2,1,8
5.83,3,1,8
6.15,4,1,8
6.46,5,1,8
6.78,6,1,8
7.09,7,1,8
7.4,8,1,8
7.72,9,1,8
8.03,10,1,8
8.34,11,1,8
8.65,12,1,8
8.97,13,1,8
9.28,14,1,8
9.59,15,1,8
9.91,16,1,8
10.2,2,1,16
10.49,3,1,16
10.79,4,1,16
11.09,5,1,16
11.38,6,1,16
11.68,7,1,16
11.97,8,1,16
12.27,9,1,16
12.56,10,1,16
12.86,11,1,16
13.15,12,1,16
13.45,13,1,16
13.74,14,1,16
14.04,15,1,16
14.33,16,1,16
14.63,2,1,32
14.93,3,1,32
15.23,4,1,32
15.52,5,1,32
15.82,6,1,32
16.12,7,1,32
16.41,8,1,32
16.71,9,1,32
17.01,10,1,32
17.3,11,1,32
17.6,12,1,32
17.9,13,1,32
18.2,14,1,32
18.5,15,1,32
18.79,16,1,32
19.08,2,1,64
19.37,3,1,64
19.65,4,1,64
19.94,5,1,64
20.23,6,1,64
20.52,7,1,64
20.8,8,1,64
21.09,9,1,64
21.38,10,1,64
21.66,11,1,64
21.95,12,1,64
22.24,13,1,64
22.52,14,1,64
22.81,15,1,64
23.1,16,1,64
512 1 thread done,,,
0.19,2,2,4
0.36,3,2,4
0.54,4,2,4
0.72,5,2,4
0.9,6,2,4
1.07,7,2,4
1.25,8,2,4
1.43,9,2,4
1.6,10,2,4
1.78,11,2,4
1.95,12,2,4
2.13,13,2,4
2.3,14,2,4
2.47,15,2,4
2.65,16,2,4
2.81,2,2,8
2.96,3,2,8
3.12,4,2,8
3.28,5,2,8
3.44,6,2,8
3.59,7,2,8
3.75,8,2,8
3.91,9,2,8
4.07,10,2,8
4.23,11,2,8
4.39,12,2,8
4.55,13,2,8
4.72,14,2,8
4.87,15,2,8
5.03,16,2,8
5.19,2,2,16
5.34,3,2,16
5.49,4,2,16
5.65,5,2,16
5.8,6,2,16
5.96,7,2,16
6.11,8,2,16
6.26,9,2,16
6.41,10,2,16
6.57,11,2,16
6.72,12,2,16
6.87,13,2,16
7.02,14,2,16
7.17,15,2,16
7.32,16,2,16
7.46,2,2,32
7.61,3,2,32
7.76,4,2,32
7.91,5,2,32
8.06,6,2,32
8.21,7,2,32
8.36,8,2,32
8.51,9,2,32
8.66,10,2,32
