2048x2048 omm 3,,
elapsed time,power,no of threads
58.78,2,1
115.03,3,1
171.42,4,1
227.76,5,1
284.29,6,1
341.22,7,1
397.71,8,1
453.96,9,1
510.54,10,1
567.2,11,1
624.28,12,1
681.03,13,1
737.76,14,1
794.85,15,1
851.24,16,1
2048 1 thread done,,
31.29,2,2
62.51,3,2
93.72,4,2
126.06,5,2
157.49,6,2
191.31,7,2
226.78,8,2
259.58,9,2
290.99,10,2
322.4,11,2
353.77,12,2
385.15,13,2
416.52,14,2
447.82,15,2
479.12,16,2
2048 2 thread done,,
17.54,2,4
35.16,3,4
52.76,4,4
70.34,5,4
87.93,6,4
105.48,7,4
123.1,8,4
140.68,9,4
158.24,10,4
175.8,11,4
193.35,12,4
210.94,13,4
228.49,14,4
246.02,15,4
263.82,16,4
2048 4 thread done,,
12.19,2,6
23.99,3,6
35.88,4,6
47.87,5,6
59.81,6,6
71.76,7,6
83.55,8,6
95.42,9,6
107.45,10,6
119.54,11,6
131.67,12,6
145.11,13,6
158.62,14,6
171.54,15,6
184.55,16,6
2048 6 thread done,,
9.74,2,8
19.35,3,8
29.27,4,8
38.61,5,8
47.92,6,8
57.2,7,8
66.5,8,8
75.78,9,8
85.1,10,8
94.41,11,8
103.75,12,8
113.16,13,8
122.48,14,8
131.82,15,8
141.15,16,8
2048 8 thread done,,
6.54,2,10
13.19,3,10
19.96,4,10
26.69,5,10
33.4,6,10
40.05,7,10
46.72,8,10
53.25,9,10
60,10,10
66.59,11,10
73.05,12,10
79.67,13,10
86.45,14,10
93.14,15,10
99.94,16,10
2048 10 thread done,,
6.42,2,12
12.77,3,12
19.17,4,12
25.6,5,12
32.02,6,12
38.51,7,12
45.05,8,12
51.56,9,12
58.05,10,12
64.5,11,12
70.98,12,12
77.35,13,12
83.73,14,12
90.14,15,12
96.52,16,12
2048 12 thread done,,
6.23,2,14
12.49,3,14
18.13,4,14
24.02,5,14
29.87,6,14
35.52,7,14
41.77,8,14
47.72,9,14
54.12,10,14
60.63,11,14
66.81,12,14
73.42,13,14
79.79,14,14
86.42,15,14
92.71,16,14
2048 14 thread done,,
5.93,2,16
11.02,3,16
17.07,4,16
22.12,5,16
27.34,6,16
33.17,7,16
38.31,8,16
45.12,9,16
51.1,10,16
56.98,11,16
63,12,16
69.17,13,16
74.16,14,16
79.45,15,16
85.27,16,16
2048 16 thread done,,
