2048x2048 omm 5,,
elapsed time,power,no of threads
57.78,2,1
115.15,3,1
172.6,4,1
229.93,5,1
287.09,6,1
344.56,7,1
401.64,8,1
458.41,9,1
515.62,10,1
572.76,11,1
630.06,12,1
687.63,13,1
745.65,14,1
803.24,15,1
860.5,16,1
2048 1 thread done,,
31.36,2,2
62.65,3,2
93.96,4,2
125.25,5,2
156.54,6,2
187.8,7,2
219.11,8,2
250.4,9,2
281.74,10,2
313.08,11,2
344.4,12,2
375.77,13,2
407.11,14,2
438.41,15,2
469.74,16,2
2048 2 thread done,,
15.74,2,4
31.49,3,4
47.25,4,4
63.01,5,4
78.74,6,4
94.46,7,4
110.14,8,4
125.81,9,4
141.49,10,4
157.11,11,4
172.7,12,4
188.32,13,4
203.92,14,4
219.49,15,4
235.06,16,4
2048 4 thread done,,
10.6,2,6
21.25,3,6
31.95,4,6
42.59,5,6
53.28,6,6
63.97,7,6
74.61,8,6
85.22,9,6
95.92,10,6
106.6,11,6
117.23,12,6
127.9,13,6
138.56,14,6
149.23,15,6
159.9,16,6
2048 6 thread done,,
8.4,2,8
16.76,3,8
25.1,4,8
33.44,5,8
41.81,6,8
50.16,7,8
58.52,8,8
66.9,9,8
75.32,10,8
83.71,11,8
92.13,12,8
100.56,13,8
108.98,14,8
117.43,15,8
125.85,16,8
2048 8 thread done,,
6.57,2,10
13.24,3,10
19.83,4,10
26.55,5,10
33.17,6,10
39.83,7,10
46.46,8,10
53.2,9,10
59.82,10,10
66.49,11,10
73.16,12,10
79.85,13,10
86.5,14,10
93.36,15,10
100.16,16,10
2048 10 thread done,,
6.37,2,12
12.72,3,12
19.09,4,12
25.45,5,12
31.75,6,12
38.1,7,12
44.44,8,12
50.76,9,12
57.12,10,12
63.45,11,12
69.91,12,12
76.34,13,12
82.69,14,12
89.01,15,12
95.38,16,12
2048 12 thread done,,
5.68,2,14
11.87,3,14
17.44,4,14
23.17,5,14
29.22,6,14
35.04,7,14
40.92,8,14
46.63,9,14
52.71,10,14
58.89,11,14
65.26,12,14
70.83,13,14
76.53,14,14
82.67,15,14
88.82,16,14
2048 14 thread done,,
5.85,2,16
10.85,3,16
16.02,4,16
21.49,5,16
26.92,6,16
32.45,7,16
37.69,8,16
43.15,9,16
48.22,10,16
53.35,11,16
58.57,12,16
63.79,13,16
69.26,14,16
75,15,16
80.46,16,16
2048 16 thread done,,
