2048x2048 omm 2,,
elapsed time,power,no of threads
66.93,2,1
133.45,3,1
199.75,4,1
266.2,5,1
333.04,6,1
398.81,7,1
465.01,8,1
531.07,9,1
597.37,10,1
663.53,11,1
729.96,12,1
796.04,13,1
861.71,14,1
927.72,15,1
993.67,16,1
2048 1 thread done,,
31.08,2,2
62.17,3,2
93.26,4,2
124.4,5,2
155.52,6,2
186.64,7,2
217.79,8,2
248.94,9,2
280.6,10,2
311.71,11,2
343.54,12,2
374.69,13,2
406.15,14,2
437.26,15,2
468.38,16,2
2048 2 thread done,,
15.73,2,4
31.41,3,4
47.1,4,4
62.78,5,4
78.45,6,4
94.14,7,4
109.83,8,4
125.47,9,4
141.12,10,4
156.78,11,4
172.46,12,4
188.1,13,4
203.77,14,4
219.75,15,4
235.58,16,4
2048 4 thread done,,
10.85,2,6
22,3,6
33.06,4,6
43.84,5,6
54.61,6,6
65.38,7,6
76.14,8,6
86.88,9,6
97.6,10,6
108.32,11,6
119.1,12,6
129.87,13,6
140.62,14,6
151.41,15,6
162.13,16,6
2048 6 thread done,,
8.63,2,8
17.2,3,8
25.74,4,8
34.27,5,8
42.82,6,8
51.35,7,8
59.88,8,8
68.42,9,8
76.96,10,8
85.55,11,8
94.08,12,8
102.63,13,8
111.22,14,8
119.78,15,8
128.33,16,8
2048 8 thread done,,
6.68,2,10
13.5,3,10
20.13,4,10
26.98,5,10
33.45,6,10
40.03,7,10
46.76,8,10
53.49,9,10
60.04,10,10
66.63,11,10
73.26,12,10
80.01,13,10
86.74,14,10
93.57,15,10
100.11,16,10
2048 10 thread done,,
6.52,2,12
13.01,3,12
19.53,4,12
25.99,5,12
32.48,6,12
38.95,7,12
45.47,8,12
51.95,9,12
58.35,10,12
64.86,11,12
71.41,12,12
77.92,13,12
84.37,14,12
90.83,15,12
97.31,16,12
2048 12 thread done,,
6.09,2,14
13.27,3,14
19.57,4,14
26.12,5,14
32.77,6,14
39.27,7,14
45.48,8,14
51.61,9,14
58.03,10,14
65.02,11,14
71.21,12,14
77.98,13,14
84.68,14,14
90.83,15,14
96.95,16,14
2048 14 thread done,,
6.09,2,16
11.88,3,16
17.59,4,16
23.38,5,16
28.93,6,16
35.13,7,16
40.63,8,16
46.66,9,16
52.6,10,16
58.39,11,16
64.28,12,16
70.18,13,16
75.87,14,16
81.73,15,16
87.86,16,16
2048 16 thread done,,
