2048x2048 omm 4,,
elapsed time,power,no of threads
58.68,2,1
116.81,3,1
175.03,4,1
233,5,1
290.97,6,1
349.92,7,1
407.93,8,1
465.85,9,1
524.04,10,1
581.89,11,1
639.87,12,1
698.18,13,1
756.72,14,1
815.14,15,1
873.49,16,1
2048 1 thread done,,
32.16,2,2
64.33,3,2
96.55,4,2
128.68,5,2
160.84,6,2
192.98,7,2
224.98,8,2
257.12,9,2
289.21,10,2
321.37,11,2
353.56,12,2
385.5,13,2
417.47,14,2
449.6,15,2
481.7,16,2
2048 2 thread done,,
16.02,2,4
32.13,3,4
48.21,4,4
64.27,5,4
80.36,6,4
96.38,7,4
112.42,8,4
128.44,9,4
144.5,10,4
160.54,11,4
176.56,12,4
192.62,13,4
208.7,14,4
224.78,15,4
240.86,16,4
2048 4 thread done,,
10.83,2,6
21.84,3,6
32.79,4,6
43.8,5,6
54.85,6,6
65.88,7,6
76.86,8,6
87.81,9,6
98.87,10,6
109.88,11,6
120.81,12,6
131.81,13,6
142.84,14,6
153.89,15,6
164.83,16,6
2048 6 thread done,,
8.74,2,8
17.42,3,8
26.05,4,8
34.7,5,8
43.34,6,8
51.98,7,8
60.62,8,8
69.26,9,8
77.86,10,8
86.5,11,8
95.15,12,8
103.78,13,8
112.39,14,8
121.06,15,8
129.72,16,8
2048 8 thread done,,
6.72,2,10
13.52,3,10
20.34,4,10
27.26,5,10
34.59,6,10
41.46,7,10
48.44,8,10
55.24,9,10
62.13,10,10
69,11,10
76.12,12,10
83.03,13,10
90.25,14,10
97,15,10
104.03,16,10
2048 10 thread done,,
6.7,2,12
13.28,3,12
20,4,12
26.58,5,12
33.21,6,12
39.85,7,12
46.45,8,12
53.1,9,12
59.71,10,12
66.58,11,12
73.38,12,12
80.02,13,12
86.71,14,12
93.36,15,12
99.98,16,12
2048 12 thread done,,
6.33,2,14
12.88,3,14
18.77,4,14
25.25,5,14
32.01,6,14
38.12,7,14
44.03,8,14
50.35,9,14
56.56,10,14
62.37,11,14
69.11,12,14
75.51,13,14
81.32,14,14
87.92,15,14
93.72,16,14
2048 14 thread done,,
5.42,2,16
11.42,3,16
17.31,4,16
22.94,5,16
28.81,6,16
34.68,7,16
40.09,8,16
45.97,9,16
51.73,10,16
57.68,11,16
63.46,12,16
69.47,13,16
75.32,14,16
81.19,15,16
87.06,16,16
2048 16 thread done,,
