512x512 BMM 4,,,
Elapsed time,Power,No of threads,Block size
0.35,2,1,4
0.7,3,1,4
1.04,4,1,4
1.39,5,1,4
1.73,6,1,4
2.08,7,1,4
2.43,8,1,4
2.77,9,1,4
3.12,10,1,4
3.46,11,1,4
3.81,12,1,4
4.15,13,1,4
4.49,14,1,4
4.84,15,1,4
5.18,16,1,4
5.49,2,1,8
5.81,3,1,8
6.12,4,1,8
6.43,5,1,8
6.74,6,1,8
7.05,7,1,8
7.37,8,1,8
7.68,9,1,8
7.99,10,1,8
8.3,11,1,8
8.62,12,1,8
8.93,13,1,8
9.24,14,1,8
9.55,15,1,8
9.87,16,1,8
10.16,2,1,16
10.46,3,1,16
10.75,4,1,16
11.05,5,1,16
11.34,6,1,16
11.64,7,1,16
11.93,8,1,16
12.23,9,1,16
12.52,10,1,16
12.82,11,1,16
13.12,12,1,16
13.41,13,1,16
13.71,14,1,16
14,15,1,16
14.3,16,1,16
14.59,2,1,32
14.89,3,1,32
15.19,4,1,32
15.49,5,1,32
15.78,6,1,32
16.08,7,1,32
16.38,8,1,32
16.67,9,1,32
16.97,10,1,32
17.27,11,1,32
17.57,12,1,32
17.87,13,1,32
18.16,14,1,32
18.46,15,1,32
18.76,16,1,32
19.04,2,1,64
19.33,3,1,64
19.62,4,1,64
19.91,5,1,64
20.19,6,1,64
20.48,7,1,64
20.77,8,1,64
21.06,9,1,64
21.34,10,1,64
21.63,11,1,64
21.92,12,1,64
22.2,13,1,64
22.49,14,1,64
22.78,15,1,64
23.07,16,1,64
512 1 thread done,,,
0.18,2,2,4
0.36,3,2,4
0.53,4,2,4
0.71,5,2,4
0.88,6,2,4
1.06,7,2,4
1.23,8,2,4
1.4,9,2,4
1.58,10,2,4
1.75,11,2,4
1.92,12,2,4
2.1,13,2,4
2.27,14,2,4
2.44,15,2,4
2.62,16,2,4
2.78,2,2,8
2.93,3,2,8
3.09,4,2,8
3.25,5,2,8
3.41,6,2,8
3.57,7,2,8
3.72,8,2,8
3.88,9,2,8
4.04,10,2,8
4.2,11,2,8
4.35,12,2,8
4.51,13,2,8
4.67,14,2,8
4.82,15,2,8
4.98,16,2,8
5.13,2,2,16
5.28,3,2,16
5.43,4,2,16
5.58,5,2,16
5.72,6,2,16
5.87,7,2,16
6.02,8,2,16
6.17,9,2,16
6.32,10,2,16
6.47,11,2,16
6.62,12,2,16
6.77,13,2,16
6.92,14,2,16
7.07,15,2,16
7.21,16,2,16
7.36,2,2,32
7.51,3,2,32
7.66,4,2,32
7.81,5,2,32
7.96,6,2,32
8.11,7,2,32
8.26,8,2,32
8.41,9,2,32
8.56,10,2,32
8.7,11,2,32
8.85,12,2,32
9,13,2,32
9.15,14,2,32
9.3,15,2,32
9.45,16,2,32
9.6,2,2,64
9.74,3,2,64
9.89,4,2,64
10.03,5,2,64
10.18,6,2,64
10.32,7,2,64
10.46,8,2,64
10.61,9,2,64
10.75,10,2,64
10.9,11,2,64
11.04,12,2,64
11.18,13,2,64
11.33,14,2,64
11.47,15,2,64
11.62,16,2,64
512 2 thread done,,,
0.1,2,4,4
0.19,3,4,4
0.28,4,4,4
0.37,5,4,4
0.46,6,4,4
0.55,7,4,4
0.64,8,4,4
0.73,9,4,4
0.82,10,4,4
0.91,11,4,4
1,12,4,4
1.09,13,4,4
1.18,14,4,4
1.27,15,4,4
1.36,16,4,4
1.44,2,4,8
1.52,3,4,8
1.6,4,4,8
1.68,5,4,8
1.77,6,4,8
1.86,7,4,8
1.94,8,4,8
2.03,9,4,8
2.11,10,4,8
2.2,11,4,8
2.28,12,4,8
2.37,13,4,8
2.46,14,4,8
2.58,15,4,8
2.68,16,4,8
2.76,2,4,16
2.84,3,4,16
2.92,4,4,16
3,5,4,16
3.08,6,4,16
3.16,7,4,16
3.25,8,4,16
3.33,9,4,16
3.41,10,4,16
3.49,11,4,16
3.57,12,4,16
3.65,13,4,16
3.73,14,4,16
3.81,15,4,16
3.89,16,4,16
3.97,2,4,32
4.05,3,4,32
4.13,4,4,32
4.21,5,4,32
4.29,6,4,32
4.37,7,4,32
4.45,8,4,32
4.54,9,4,32
4.62,10,4,32
4.7,11,4,32
4.78,12,4,32
4.86,13,4,32
4.94,14,4,32
5.02,15,4,32
5.1,16,4,32
5.17,2,4,64
5.25,3,4,64
5.33,4,4,64
5.41,5,4,64
5.48,6,4,64
5.56,7,4,64
5.64,8,4,64
5.72,9,4,64
5.79,10,4,64
5.87,11,4,64
5.95,12,4,64
6.03,13,4,64
6.11,14,4,64
6.18,15,4,64
6.26,16,4,64
512 4 thread done,,,
0.07,2,6,4
0.14,3,6,4
0.21,4,6,4
0.29,5,6,4
0.36,6,6,4
0.43,7,6,4
0.5,8,6,4
0.57,9,6,4
0.65,10,6,4
0.72,11,6,4
0.79,12,6,4
0.86,13,6,4
0.93,14,6,4
1.01,15,6,4
1.08,16,6,4
1.14,2,6,8
1.21,3,6,8
1.27,4,6,8
1.34,5,6,8
1.4,6,6,8
1.47,7,6,8
1.53,8,6,8
1.6,9,6,8
1.67,10,6,8
1.73,11,6,8
1.8,12,6,8
1.87,13,6,8
1.93,14,6,8
2,15,6,8
2.06,16,6,8
2.13,2,6,16
2.2,3,6,16
2.26,4,6,16
2.33,5,6,16
2.39,6,6,16
2.46,7,6,16
2.53,8,6,16
2.59,9,6,16
2.66,10,6,16
2.72,11,6,16
2.79,12,6,16
2.86,13,6,16
2.92,14,6,16
2.99,15,6,16
3.06,16,6,16
3.12,2,6,32
3.19,3,6,32
3.25,4,6,32
3.31,5,6,32
3.38,6,6,32
3.44,7,6,32
3.51,8,6,32
3.57,9,6,32
3.64,10,6,32
3.7,11,6,32
3.76,12,6,32
3.83,13,6,32
3.89,14,6,32
3.96,15,6,32
4.02,16,6,32
4.1,2,6,64
4.18,3,6,64
4.25,4,6,64
4.33,5,6,64
4.41,6,6,64
4.48,7,6,64
4.56,8,6,64
4.64,9,6,64
4.72,10,6,64
4.79,11,6,64
4.87,12,6,64
4.95,13,6,64
5.02,14,6,64
5.1,15,6,64
5.18,16,6,64
512 6 thread done,,,
0.06,2,8,4
0.11,3,8,4
0.17,4,8,4
0.22,5,8,4
0.28,6,8,4
0.34,7,8,4
0.4,8,8,4
0.46,9,8,4
0.52,10,8,4
0.57,11,8,4
0.63,12,8,4
0.69,13,8,4
0.75,14,8,4
0.81,15,8,4
0.86,16,8,4
0.92,2,8,8
0.97,3,8,8
1.02,4,8,8
1.07,5,8,8
1.12,6,8,8
1.17,7,8,8
1.23,8,8,8
1.28,9,8,8
1.33,10,8,8
1.38,11,8,8
1.43,12,8,8
1.49,13,8,8
1.54,14,8,8
1.59,15,8,8
1.64,16,8,8
1.69,2,8,16
1.74,3,8,16
1.79,4,8,16
1.84,5,8,16
1.89,6,8,16
1.94,7,8,16
1.99,8,8,16
2.04,9,8,16
2.09,10,8,16
2.14,11,8,16
2.19,12,8,16
2.24,13,8,16
2.29,14,8,16
2.33,15,8,16
2.38,16,8,16
2.43,2,8,32
2.48,3,8,32
2.53,4,8,32
2.58,5,8,32
2.63,6,8,32
2.68,7,8,32
2.73,8,8,32
2.77,9,8,32
2.82,10,8,32
2.87,11,8,32
2.92,12,8,32
2.97,13,8,32
3.02,14,8,32
3.07,15,8,32
3.12,16,8,32
3.16,2,8,64
3.21,3,8,64
3.26,4,8,64
3.3,5,8,64
3.35,6,8,64
3.4,7,8,64
3.45,8,8,64
3.49,9,8,64
3.54,10,8,64
3.59,11,8,64
3.63,12,8,64
3.68,13,8,64
3.73,14,8,64
3.77,15,8,64
3.82,16,8,64
512 8 thread done,,,
0.07,2,10,4
0.14,3,10,4
0.2,4,10,4
0.27,5,10,4
0.34,6,10,4
0.41,7,10,4
0.47,8,10,4
0.54,9,10,4
0.61,10,10,4
0.68,11,10,4
0.75,12,10,4
0.81,13,10,4
0.88,14,10,4
0.95,15,10,4
1.02,16,10,4
1.08,2,10,8
1.14,3,10,8
1.2,4,10,8
1.26,5,10,8
1.31,6,10,8
1.37,7,10,8
1.43,8,10,8
1.48,9,10,8
1.54,10,10,8
1.6,11,10,8
1.65,12,10,8
1.71,13,10,8
1.76,14,10,8
1.82,15,10,8
1.87,16,10,8
1.93,2,10,16
1.98,3,10,16
2.03,4,10,16
2.09,5,10,16
2.14,6,10,16
2.19,7,10,16
2.24,8,10,16
2.3,9,10,16
2.35,10,10,16
2.4,11,10,16
2.45,12,10,16
2.51,13,10,16
2.56,14,10,16
2.61,15,10,16
2.66,16,10,16
