512x512 BMM 3,,,
Elapsed time,Power,No of threads,Block size
0.75,15,8,4
0.8,16,8,4
0.84,2,8,8
0.89,3,8,8
0.94,4,8,8
0.98,5,8,8
1.03,6,8,8
1.07,7,8,8
1.12,8,8,8
1.16,9,8,8
1.21,10,8,8
1.26,11,8,8
1.3,12,8,8
1.35,13,8,8
1.39,14,8,8
1.44,15,8,8
1.49,16,8,8
1.53,2,8,16
1.57,3,8,16
1.62,4,8,16
1.66,5,8,16
1.7,6,8,16
1.75,7,8,16
1.79,8,8,16
1.83,9,8,16
1.88,10,8,16
1.92,11,8,16
1.96,12,8,16
2.01,13,8,16
2.05,14,8,16
2.1,15,8,16
2.16,16,8,16
2.23,2,8,32
2.27,3,8,32
2.31,4,8,32
2.36,5,8,32
2.4,6,8,32
2.44,7,8,32
2.49,8,8,32
2.53,9,8,32
2.57,10,8,32
2.62,11,8,32
2.66,12,8,32
2.7,13,8,32
2.75,14,8,32
2.79,15,8,32
2.83,16,8,32
2.87,2,8,64
2.92,3,8,64
2.96,4,8,64
3,5,8,64
3.04,6,8,64
3.08,7,8,64
3.13,8,8,64
3.17,9,8,64
3.21,10,8,64
3.25,11,8,64
3.29,12,8,64
3.33,13,8,64
3.38,14,8,64
3.42,15,8,64
3.46,16,8,64
512 8 thread done,,,
0.07,2,10,4
0.13,3,10,4
0.2,4,10,4
0.26,5,10,4
0.33,6,10,4
0.39,7,10,4
0.45,8,10,4
0.52,9,10,4
0.58,10,10,4
0.64,11,10,4
0.71,12,10,4
0.77,13,10,4
0.84,14,10,4
0.9,15,10,4
0.96,16,10,4
1.02,2,10,8
1.07,3,10,8
1.13,4,10,8
1.19,5,10,8
1.25,6,10,8
1.31,7,10,8
1.37,8,10,8
1.43,9,10,8
1.49,10,10,8
1.55,11,10,8
1.6,12,10,8
1.66,13,10,8
1.72,14,10,8
1.78,15,10,8
1.83,16,10,8
1.89,2,10,16
1.95,3,10,16
2,4,10,16
2.05,5,10,16
2.1,6,10,16
2.14,7,10,16
2.19,8,10,16
2.24,9,10,16
2.29,10,10,16
2.34,11,10,16
2.39,12,10,16
2.44,13,10,16
2.49,14,10,16
2.54,15,10,16
2.59,16,10,16
2.65,2,10,32
2.71,3,10,32
2.77,4,10,32
2.83,5,10,32
2.87,6,10,32
2.92,7,10,32
2.96,8,10,32
3.01,9,10,32
3.05,10,10,32
3.1,11,10,32
3.14,12,10,32
3.19,13,10,32
3.23,14,10,32
3.28,15,10,32
3.32,16,10,32
3.36,2,10,64
3.41,3,10,64
3.45,4,10,64
3.49,5,10,64
3.53,6,10,64
3.57,7,10,64
3.62,8,10,64
3.66,9,10,64
3.7,10,10,64
3.74,11,10,64
3.78,12,10,64
3.83,13,10,64
3.87,14,10,64
3.91,15,10,64
3.95,16,10,64
512 10 thread done,,,
0.06,2,12,4
0.12,3,12,4
0.18,4,12,4
0.23,5,12,4
0.29,6,12,4
0.35,7,12,4
0.41,8,12,4
0.46,9,12,4
0.52,10,12,4
0.58,11,12,4
0.64,12,12,4
0.7,13,12,4
0.76,14,12,4
0.81,15,12,4
0.87,16,12,4
0.93,2,12,8
0.98,3,12,8
1.03,4,12,8
1.09,5,12,8
1.14,6,12,8
1.2,7,12,8
1.25,8,12,8
1.31,9,12,8
1.36,10,12,8
1.41,11,12,8
1.47,12,12,8
1.52,13,12,8
1.58,14,12,8
1.63,15,12,8
1.68,16,12,8
1.73,2,12,16
1.78,3,12,16
1.84,4,12,16
1.88,5,12,16
1.93,6,12,16
1.98,7,12,16
2.03,8,12,16
2.08,9,12,16
2.13,10,12,16
2.18,11,12,16
2.23,12,12,16
2.28,13,12,16
2.33,14,12,16
2.38,15,12,16
2.43,16,12,16
2.5,2,12,32
2.56,3,12,32
2.61,4,12,32
2.66,5,12,32
2.71,6,12,32
2.75,7,12,32
2.8,8,12,32
2.84,9,12,32
2.89,10,12,32
2.94,11,12,32
2.98,12,12,32
3.03,13,12,32
3.07,14,12,32
3.12,15,12,32
3.16,16,12,32
3.22,2,12,64
3.28,3,12,64
3.34,4,12,64
3.4,5,12,64
3.47,6,12,64
3.53,7,12,64
3.59,8,12,64
3.65,9,12,64
3.71,10,12,64
3.77,11,12,64
3.83,12,12,64
3.9,13,12,64
3.96,14,12,64
4.02,15,12,64
4.08,16,12,64
512 12 thread done,,,
0.06,2,14,4
0.13,3,14,4
0.19,4,14,4
0.25,5,14,4
0.31,6,14,4
0.37,7,14,4
0.42,8,14,4
0.48,9,14,4
0.54,10,14,4
0.59,11,14,4
0.65,12,14,4
0.71,13,14,4
0.77,14,14,4
0.83,15,14,4
0.89,16,14,4
0.94,2,14,8
1,3,14,8
1.05,4,14,8
1.11,5,14,8
1.16,6,14,8
1.22,7,14,8
1.27,8,14,8
1.32,9,14,8
1.38,10,14,8
1.43,11,14,8
1.48,12,14,8
1.54,13,14,8
1.59,14,14,8
1.64,15,14,8
1.7,16,14,8
1.75,2,14,16
1.8,3,14,16
1.85,4,14,16
1.91,5,14,16
1.97,6,14,16
2.03,7,14,16
2.1,8,14,16
2.16,9,14,16
2.23,10,14,16
2.29,11,14,16
2.36,12,14,16
2.43,13,14,16
2.49,14,14,16
2.55,15,14,16
2.61,16,14,16
2.65,2,14,32
2.7,3,14,32
2.75,4,14,32
2.79,5,14,32
2.84,6,14,32
2.89,7,14,32
2.94,8,14,32
2.99,9,14,32
3.04,10,14,32
3.08,11,14,32
3.13,12,14,32
3.18,13,14,32
3.23,14,14,32
3.28,15,14,32
3.33,16,14,32
3.4,2,14,64
3.46,3,14,64
3.53,4,14,64
3.59,5,14,64
3.65,6,14,64
3.71,7,14,64
3.75,8,14,64
3.8,9,14,64
3.85,10,14,64
3.9,11,14,64
3.95,12,14,64
4,13,14,64
4.04,14,14,64
4.09,15,14,64
4.14,16,14,64
512 14 thread done,,,
0.06,2,16,4
0.12,3,16,4
0.17,4,16,4
0.22,5,16,4
0.27,6,16,4
0.32,7,16,4
0.37,8,16,4
0.42,9,16,4
0.47,10,16,4
0.52,11,16,4
0.58,12,16,4
0.63,13,16,4
0.68,14,16,4
0.73,15,16,4
0.79,16,16,4
0.83,2,16,8
0.88,3,16,8
0.93,4,16,8
0.97,5,16,8
1.02,6,16,8
1.07,7,16,8
1.11,8,16,8
1.16,9,16,8
1.21,10,16,8
1.25,11,16,8
1.3,12,16,8
1.35,13,16,8
1.4,14,16,8
1.44,15,16,8
1.49,16,16,8
1.54,2,16,16
1.58,3,16,16
1.63,4,16,16
1.67,5,16,16
1.72,6,16,16
1.77,7,16,16
1.81,8,16,16
1.86,9,16,16
1.91,10,16,16
1.95,11,16,16
2,12,16,16
2.05,13,16,16
2.09,14,16,16
2.14,15,16,16
2.19,16,16,16
2.23,2,16,32
2.28,3,16,32
2.32,4,16,32
2.37,5,16,32
2.42,6,16,32
2.46,7,16,32
2.51,8,16,32
2.55,9,16,32
2.6,10,16,32
2.65,11,16,32
2.69,12,16,32
2.74,13,16,32
2.78,14,16,32
2.83,15,16,32
2.88,16,16,32
2.95,2,16,64
3.02,3,16,64
3.09,4,16,64
3.15,5,16,64
3.22,6,16,64
3.28,7,16,64
3.35,8,16,64
3.43,9,16,64
3.51,10,16,64
3.58,11,16,64
3.64,12,16,64
3.72,13,16,64
3.79,14,16,64
3.86,15,16,64
3.91,16,16,64
512 16 thread done,,,
