512X512 BMM ,,,
Elapsed time,Power,Number of threads,Block size
0.69,14,8,4
0.74,15,8,4
0.79,16,8,4
0.83,2,8,8
0.88,3,8,8
0.92,4,8,8
0.97,5,8,8
1.01,6,8,8
1.06,7,8,8
1.11,8,8,8
1.15,9,8,8
1.2,10,8,8
1.24,11,8,8
1.29,12,8,8
1.33,13,8,8
1.38,14,8,8
1.42,15,8,8
1.47,16,8,8
1.51,2,8,16
1.56,3,8,16
1.6,4,8,16
1.64,5,8,16
1.68,6,8,16
1.73,7,8,16
1.77,8,8,16
1.81,9,8,16
1.86,10,8,16
1.9,11,8,16
1.94,12,8,16
1.99,13,8,16
2.03,14,8,16
2.07,15,8,16
2.11,16,8,16
2.16,2,8,32
2.2,3,8,32
2.24,4,8,32
2.29,5,8,32
2.33,6,8,32
2.37,7,8,32
2.42,8,8,32
2.46,9,8,32
2.5,10,8,32
2.55,11,8,32
2.59,12,8,32
2.63,13,8,32
2.67,14,8,32
2.72,15,8,32
2.76,16,8,32
2.8,2,8,64
2.84,3,8,64
2.88,4,8,64
2.93,5,8,64
2.97,6,8,64
3.01,7,8,64
3.05,8,8,64
3.09,9,8,64
3.13,10,8,64
3.18,11,8,64
3.22,12,8,64
3.26,13,8,64
3.3,14,8,64
3.34,15,8,64
3.38,16,8,64
512 8 thread done,,,
0.07,2,10,4
0.13,3,10,4
0.2,4,10,4
0.26,5,10,4
0.33,6,10,4
0.39,7,10,4
0.46,8,10,4
0.52,9,10,4
0.58,10,10,4
0.65,11,10,4
0.71,12,10,4
0.77,13,10,4
0.83,14,10,4
0.9,15,10,4
0.96,16,10,4
1.02,2,10,8
1.08,3,10,8
1.15,4,10,8
1.21,5,10,8
1.27,6,10,8
1.33,7,10,8
1.39,8,10,8
1.45,9,10,8
1.5,10,10,8
1.56,11,10,8
1.62,12,10,8
1.68,13,10,8
1.74,14,10,8
1.8,15,10,8
1.86,16,10,8
1.92,2,10,16
1.98,3,10,16
2.03,4,10,16
2.08,5,10,16
2.12,6,10,16
2.17,7,10,16
2.22,8,10,16
2.27,9,10,16
2.32,10,10,16
2.37,11,10,16
2.42,12,10,16
2.47,13,10,16
2.52,14,10,16
2.57,15,10,16
2.61,16,10,16
2.67,2,10,32
2.73,3,10,32
2.79,4,10,32
2.84,5,10,32
2.88,6,10,32
2.93,7,10,32
2.97,8,10,32
3.02,9,10,32
3.06,10,10,32
3.11,11,10,32
3.15,12,10,32
3.2,13,10,32
3.24,14,10,32
3.29,15,10,32
3.33,16,10,32
3.39,2,10,64
3.43,3,10,64
3.48,4,10,64
3.52,5,10,64
3.56,6,10,64
3.6,7,10,64
3.64,8,10,64
3.69,9,10,64
3.73,10,10,64
3.77,11,10,64
3.81,12,10,64
3.85,13,10,64
3.9,14,10,64
3.94,15,10,64
3.98,16,10,64
512 10 thread done,,,
0.06,2,12,4
0.12,3,12,4
0.18,4,12,4
0.24,5,12,4
0.29,6,12,4
0.35,7,12,4
0.41,8,12,4
0.46,9,12,4
0.52,10,12,4
0.58,11,12,4
0.64,12,12,4
0.69,13,12,4
0.75,14,12,4
0.81,15,12,4
0.86,16,12,4
0.92,2,12,8
0.97,3,12,8
1.03,4,12,8
1.08,5,12,8
1.13,6,12,8
1.18,7,12,8
1.23,8,12,8
1.27,9,12,8
1.32,10,12,8
1.36,11,12,8
1.41,12,12,8
1.46,13,12,8
1.5,14,12,8
1.55,15,12,8
1.59,16,12,8
1.64,2,12,16
1.69,3,12,16
1.74,4,12,16
1.79,5,12,16
1.84,6,12,16
1.89,7,12,16
1.94,8,12,16
1.99,9,12,16
2.04,10,12,16
2.09,11,12,16
2.14,12,12,16
2.19,13,12,16
2.24,14,12,16
2.29,15,12,16
2.34,16,12,16
2.4,2,12,32
2.46,3,12,32
2.51,4,12,32
2.55,5,12,32
2.6,6,12,32
2.65,7,12,32
2.69,8,12,32
2.74,9,12,32
2.78,10,12,32
2.83,11,12,32
2.87,12,12,32
2.92,13,12,32
2.96,14,12,32
3.01,15,12,32
3.05,16,12,32
3.1,2,12,64
3.14,3,12,64
3.19,4,12,64
3.23,5,12,64
3.27,6,12,64
3.31,7,12,64
3.35,8,12,64
3.4,9,12,64
3.44,10,12,64
3.48,11,12,64
3.52,12,12,64
3.57,13,12,64
3.61,14,12,64
3.65,15,12,64
3.69,16,12,64
512 12 thread done,,,
0.07,2,14,4
0.13,3,14,4
0.18,4,14,4
0.24,5,14,4
0.3,6,14,4
0.35,7,14,4
0.41,8,14,4
0.47,9,14,4
0.52,10,14,4
0.58,11,14,4
0.64,12,14,4
0.69,13,14,4
0.75,14,14,4
0.81,15,14,4
0.87,16,14,4
0.92,2,14,8
0.97,3,14,8
1.03,4,14,8
1.08,5,14,8
1.13,6,14,8
1.19,7,14,8
1.24,8,14,8
1.3,9,14,8
1.35,10,14,8
1.41,11,14,8
1.46,12,14,8
1.51,13,14,8
1.57,14,14,8
1.62,15,14,8
1.68,16,14,8
1.73,2,14,16
1.8,3,14,16
1.85,4,14,16
1.91,5,14,16
1.96,6,14,16
2.02,7,14,16
2.08,8,14,16
2.14,9,14,16
2.2,10,14,16
2.26,11,14,16
2.31,12,14,16
2.37,13,14,16
2.43,14,14,16
2.49,15,14,16
2.55,16,14,16
2.61,2,14,32
2.68,3,14,32
2.74,4,14,32
2.8,5,14,32
2.87,6,14,32
2.93,7,14,32
2.99,8,14,32
3.06,9,14,32
3.13,10,14,32
