elapsed time = 0.61 | seconds power is 2 | number of threads is 1
elapsed time = 1.22 | seconds power is 3 | number of threads is 1
elapsed time = 1.81 | seconds power is 4 | number of threads is 1
elapsed time = 2.41 | seconds power is 5 | number of threads is 1
elapsed time = 3.00 | seconds power is 6 | number of threads is 1
elapsed time = 3.58 | seconds power is 7 | number of threads is 1
elapsed time = 4.18 | seconds power is 8 | number of threads is 1
elapsed time = 4.83 | seconds power is 9 | number of threads is 1
elapsed time = 5.52 | seconds power is 10 | number of threads is 1
elapsed time = 6.12 | seconds power is 11 | number of threads is 1
elapsed time = 6.72 | seconds power is 12 | number of threads is 1
elapsed time = 7.44 | seconds power is 13 | number of threads is 1
elapsed time = 8.07 | seconds power is 14 | number of threads is 1
elapsed time = 8.66 | seconds power is 15 | number of threads is 1
elapsed time = 9.29 | seconds power is 16 | number of threads is 1
512 1 thread done
elapsed time = 0.35 | seconds power is 2 | number of threads is 2
elapsed time = 0.68 | seconds power is 3 | number of threads is 2
elapsed time = 1.02 | seconds power is 4 | number of threads is 2
elapsed time = 1.32 | seconds power is 5 | number of threads is 2
elapsed time = 1.64 | seconds power is 6 | number of threads is 2
elapsed time = 1.96 | seconds power is 7 | number of threads is 2
elapsed time = 2.31 | seconds power is 8 | number of threads is 2
elapsed time = 2.67 | seconds power is 9 | number of threads is 2
elapsed time = 3.02 | seconds power is 10 | number of threads is 2
elapsed time = 3.53 | seconds power is 11 | number of threads is 2
elapsed time = 3.98 | seconds power is 12 | number of threads is 2
elapsed time = 4.51 | seconds power is 13 | number of threads is 2
elapsed time = 5.38 | seconds power is 14 | number of threads is 2
elapsed time = 6.25 | seconds power is 15 | number of threads is 2
elapsed time = 7.12 | seconds power is 16 | number of threads is 2
512 2 thread done
elapsed time = 0.47 | seconds power is 2 | number of threads is 4
elapsed time = 1.03 | seconds power is 3 | number of threads is 4
elapsed time = 1.45 | seconds power is 4 | number of threads is 4
elapsed time = 1.99 | seconds power is 5 | number of threads is 4
elapsed time = 2.43 | seconds power is 6 | number of threads is 4
elapsed time = 3.16 | seconds power is 7 | number of threads is 4
elapsed time = 3.62 | seconds power is 8 | number of threads is 4
elapsed time = 4.13 | seconds power is 9 | number of threads is 4
elapsed time = 4.68 | seconds power is 10 | number of threads is 4
elapsed time = 5.00 | seconds power is 11 | number of threads is 4
elapsed time = 5.35 | seconds power is 12 | number of threads is 4
elapsed time = 5.69 | seconds power is 13 | number of threads is 4
elapsed time = 5.92 | seconds power is 14 | number of threads is 4
elapsed time = 6.16 | seconds power is 15 | number of threads is 4
elapsed time = 6.40 | seconds power is 16 | number of threads is 4
512 4 thread done
elapsed time = 0.25 | seconds power is 2 | number of threads is 6
elapsed time = 0.48 | seconds power is 3 | number of threads is 6
elapsed time = 0.75 | seconds power is 4 | number of threads is 6
elapsed time = 1.01 | seconds power is 5 | number of threads is 6
elapsed time = 1.26 | seconds power is 6 | number of threads is 6
elapsed time = 1.47 | seconds power is 7 | number of threads is 6
elapsed time = 1.70 | seconds power is 8 | number of threads is 6
elapsed time = 1.94 | seconds power is 9 | number of threads is 6
elapsed time = 2.17 | seconds power is 10 | number of threads is 6
elapsed time = 2.37 | seconds power is 11 | number of threads is 6
elapsed time = 2.59 | seconds power is 12 | number of threads is 6
elapsed time = 2.81 | seconds power is 13 | number of threads is 6
elapsed time = 3.05 | seconds power is 14 | number of threads is 6
elapsed time = 3.27 | seconds power is 15 | number of threads is 6
elapsed time = 3.49 | seconds power is 16 | number of threads is 6
512 6 thread done
elapsed time = 0.25 | seconds power is 2 | number of threads is 8
elapsed time = 0.56 | seconds power is 3 | number of threads is 8
elapsed time = 0.84 | seconds power is 4 | number of threads is 8
elapsed time = 1.07 | seconds power is 5 | number of threads is 8
elapsed time = 1.42 | seconds power is 6 | number of threads is 8
elapsed time = 1.85 | seconds power is 7 | number of threads is 8
elapsed time = 2.35 | seconds power is 8 | number of threads is 8
elapsed time = 2.78 | seconds power is 9 | number of threads is 8
elapsed time = 3.11 | seconds power is 10 | number of threads is 8
elapsed time = 3.49 | seconds power is 11 | number of threads is 8
elapsed time = 4.00 | seconds power is 12 | number of threads is 8
elapsed time = 4.38 | seconds power is 13 | number of threads is 8
elapsed time = 4.72 | seconds power is 14 | number of threads is 8
elapsed time = 4.94 | seconds power is 15 | number of threads is 8
elapsed time = 5.17 | seconds power is 16 | number of threads is 8
512 8 thread done
elapsed time = 0.26 | seconds power is 2 | number of threads is 10
elapsed time = 0.50 | seconds power is 3 | number of threads is 10
elapsed time = 0.76 | seconds power is 4 | number of threads is 10
elapsed time = 1.05 | seconds power is 5 | number of threads is 10
elapsed time = 1.29 | seconds power is 6 | number of threads is 10
elapsed time = 1.53 | seconds power is 7 | number of threads is 10
elapsed time = 1.85 | seconds power is 8 | number of threads is 10
elapsed time = 2.20 | seconds power is 9 | number of threads is 10
elapsed time = 2.48 | seconds power is 10 | number of threads is 10
elapsed time = 2.87 | seconds power is 11 | number of threads is 10
elapsed time = 3.29 | seconds power is 12 | number of threads is 10
elapsed time = 3.66 | seconds power is 13 | number of threads is 10
elapsed time = 4.06 | seconds power is 14 | number of threads is 10
elapsed time = 4.42 | seconds power is 15 | number of threads is 10
elapsed time = 4.73 | seconds power is 16 | number of threads is 10
512 10 thread done
elapsed time = 0.33 | seconds power is 2 | number of threads is 12
elapsed time = 0.63 | seconds power is 3 | number of threads is 12
elapsed time = 0.90 | seconds power is 4 | number of threads is 12
elapsed time = 1.18 | seconds power is 5 | number of threads is 12
elapsed time = 1.45 | seconds power is 6 | number of threads is 12
elapsed time = 1.69 | seconds power is 7 | number of threads is 12
elapsed time = 1.92 | seconds power is 8 | number of threads is 12
elapsed time = 2.19 | seconds power is 9 | number of threads is 12
elapsed time = 2.44 | seconds power is 10 | number of threads is 12
elapsed time = 2.65 | seconds power is 11 | number of threads is 12
elapsed time = 2.97 | seconds power is 12 | number of threads is 12
elapsed time = 3.21 | seconds power is 13 | number of threads is 12
elapsed time = 3.43 | seconds power is 14 | number of threads is 12
elapsed time = 3.64 | seconds power is 15 | number of threads is 12
elapsed time = 3.83 | seconds power is 16 | number of threads is 12
512 12 thread done
elapsed time = 0.26 | seconds power is 2 | number of threads is 14
elapsed time = 0.48 | seconds power is 3 | number of threads is 14
elapsed time = 0.68 | seconds power is 4 | number of threads is 14
elapsed time = 0.88 | seconds power is 5 | number of threads is 14
elapsed time = 1.13 | seconds power is 6 | number of threads is 14
elapsed time = 1.44 | seconds power is 7 | number of threads is 14
elapsed time = 1.69 | seconds power is 8 | number of threads is 14
elapsed time = 1.89 | seconds power is 9 | number of threads is 14
elapsed time = 2.09 | seconds power is 10 | number of threads is 14
elapsed time = 2.31 | seconds power is 11 | number of threads is 14
elapsed time = 2.49 | seconds power is 12 | number of threads is 14
elapsed time = 2.70 | seconds power is 13 | number of threads is 14
elapsed time = 2.91 | seconds power is 14 | number of threads is 14
elapsed time = 3.11 | seconds power is 15 | number of threads is 14
elapsed time = 3.31 | seconds power is 16 | number of threads is 14
512 14 thread done
elapsed time = 0.22 | seconds power is 2 | number of threads is 16
elapsed time = 0.44 | seconds power is 3 | number of threads is 16
elapsed time = 0.66 | seconds power is 4 | number of threads is 16
elapsed time = 0.90 | seconds power is 5 | number of threads is 16
elapsed time = 1.15 | seconds power is 6 | number of threads is 16
elapsed time = 1.51 | seconds power is 7 | number of threads is 16
elapsed time = 1.77 | seconds power is 8 | number of threads is 16
elapsed time = 2.03 | seconds power is 9 | number of threads is 16
