elapsed time = 0.98 | seconds power is 5 | number of threads is 14
elapsed time = 1.23 | seconds power is 6 | number of threads is 14
elapsed time = 1.46 | seconds power is 7 | number of threads is 14
elapsed time = 1.67 | seconds power is 8 | number of threads is 14
elapsed time = 1.86 | seconds power is 9 | number of threads is 14
elapsed time = 2.07 | seconds power is 10 | number of threads is 14
elapsed time = 2.32 | seconds power is 11 | number of threads is 14
elapsed time = 2.56 | seconds power is 12 | number of threads is 14
elapsed time = 2.77 | seconds power is 13 | number of threads is 14
elapsed time = 2.98 | seconds power is 14 | number of threads is 14
elapsed time = 3.22 | seconds power is 15 | number of threads is 14
elapsed time = 3.47 | seconds power is 16 | number of threads is 14
512 14 thread done
elapsed time = 0.23 | seconds power is 2 | number of threads is 16
elapsed time = 0.45 | seconds power is 3 | number of threads is 16
elapsed time = 0.66 | seconds power is 4 | number of threads is 16
elapsed time = 0.85 | seconds power is 5 | number of threads is 16
elapsed time = 1.04 | seconds power is 6 | number of threads is 16
elapsed time = 1.24 | seconds power is 7 | number of threads is 16
elapsed time = 1.47 | seconds power is 8 | number of threads is 16
elapsed time = 1.68 | seconds power is 9 | number of threads is 16
elapsed time = 2.00 | seconds power is 10 | number of threads is 16
elapsed time = 2.22 | seconds power is 11 | number of threads is 16
elapsed time = 2.43 | seconds power is 12 | number of threads is 16
elapsed time = 2.66 | seconds power is 13 | number of threads is 16
elapsed time = 2.90 | seconds power is 14 | number of threads is 16
elapsed time = 3.12 | seconds power is 15 | number of threads is 16
elapsed time = 3.35 | seconds power is 16 | number of threads is 16
512 16 thread done
