2048x2048 omm transpose 3,,
elapsed time,power,no of threads
65.74,2,1
129.86,3,1
195.03,4,1
260.32,5,1
326.02,6,1
390.52,7,1
455.52,8,1
520.02,9,1
583.35,10,1
648.19,11,1
713.48,12,1
778.63,13,1
843.71,14,1
909.67,15,1
975.46,16,1
2048 1 thread done,,
35.13,2,2
70.18,3,2
105.29,4,2
140.4,5,2
175.48,6,2
209.55,7,2
245.06,8,2
280.07,9,2
315.08,10,2
348.81,11,2
383.98,12,2
419.05,13,2
454.11,14,2
489.19,15,2
524.24,16,2
2048 2 thread done,,
17.6,2,4
35.08,3,4
52.62,4,4
70.16,5,4
87.69,6,4
105.2,7,4
123.13,8,4
140.71,9,4
158.3,10,4
175.87,11,4
193.42,12,4
211.06,13,4
228.87,14,4
246.67,15,4
264.34,16,4
2048 4 thread done,,
10.53,2,6
21.13,3,6
31.84,4,6
42.51,5,6
53.23,6,6
63.99,7,6
74.64,8,6
85.4,9,6
96.09,10,6
106.76,11,6
117.54,12,6
128.35,13,6
139.2,14,6
150.05,15,6
160.84,16,6
2048 6 thread done,,
8.58,2,8
17.08,3,8
25.59,4,8
34.08,5,8
42.48,6,8
50.97,7,8
59.46,8,8
67.94,9,8
76.43,10,8
84.91,11,8
93.4,12,8
101.85,13,8
110.32,14,8
118.78,15,8
127.24,16,8
2048 8 thread done,,
6.83,2,10
13.46,3,10
20.21,4,10
27.09,5,10
33.77,6,10
41.08,7,10
47.92,8,10
54.89,9,10
61.69,10,10
68.48,11,10
75.66,12,10
82.35,13,10
89.56,14,10
96.39,15,10
103.16,16,10
2048 10 thread done,,
6.44,2,12
12.92,3,12
19.4,4,12
25.83,5,12
32.22,6,12
38.71,7,12
45.27,8,12
51.75,9,12
58.2,10,12
64.65,11,12
71.15,12,12
77.59,13,12
84.01,14,12
90.46,15,12
96.93,16,12
2048 12 thread done,,
6.38,2,14
12.76,3,14
18.93,4,14
25.38,5,14
31.05,6,14
37.32,7,14
43.06,8,14
49.51,9,14
55.35,10,14
61.12,11,14
66.98,12,14
73.56,13,14
79.67,14,14
85.87,15,14
91.58,16,14
2048 14 thread done,,
5.63,2,16
11.5,3,16
17.06,4,16
22.6,5,16
28.38,6,16
33.61,7,16
39.23,8,16
45.18,9,16
50.43,10,16
55.73,11,16
61.38,12,16
66.7,13,16
72.01,14,16
77.53,15,16
82.8,16,16
2048 16 thread done,,
